Title,Artist,Chords
"""Uptown Funk""",Mark Ronson featuring Bruno Mars,"['Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'Dm', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'Dm', 'Dm', 'Dm', 'D5', 'D#5', 'E5', 'F5', 'F#5', 'G5', 'G#5', 'A5', 'A#5', 'B5', 'C5', 'C#5', 'Dm', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'Dm', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'Dm', 'Dm', 'Dm', 'D5', 'D#5', 'E5', 'F5', 'F#5', 'G5', 'G#5', 'A5', 'A#5', 'B5', 'C5', 'C#5', 'Dm', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'Dm', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'Dm', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7', 'Dm', 'G7']"
"""Thinking Out Loud""",Ed Sheeran,"['C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'Dm', 'G', 'C', 'Dm', 'G', 'Dm', 'G', 'Am', 'Dm', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'Am', 'G', 'F', 'C/E', 'Dm', 'G', 'C', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'Dm', 'G', 'C', 'Dm', 'G', 'Dm', 'G', 'Am', 'Dm', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'Am', 'G', 'F', 'C/E', 'Dm', 'G', 'C', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'C', 'C/E', 'F', 'G', 'Am', 'G', 'F', 'C/E', 'Dm', 'G', 'C', 'Am', 'G', 'F', 'C/E', 'Dm', 'G', 'C', 'Am', 'G', 'F', 'C/E', 'Dm', 'G', 'C']"
"""See You Again""",Wiz Khalifa featuring Charlie Puth,not found
"""Trap Queen""",Fetty Wap,"['Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'F', 'Dm', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Am', 'Dm', 'G', 'Am', 'Dm', 'F', 'G', 'Am', 'Dm', 'F', 'G']"
"""Sugar""",Maroon 5,not found
"""Shut Up and Dance""",Walk the Moon,"['G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'C', 'Em', 'G', 'C', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D', 'G', 'C', 'Em', 'D']"
"""Blank Space""",Taylor Swift,"['A7sus4', 'D', 'Bm', 'G', 'A7sus4', 'A', 'D', 'Bm', 'G', 'A', 'G', 'A', 'D', 'Bm', 'Em', 'G', 'D', 'D', 'Bm', 'Em', 'G', 'G', 'D', 'D', 'Bm', 'G', 'A7sus4', 'A', 'D', 'Bm', 'G', 'A', 'G', 'D', 'Bm', 'Em', 'G', 'D', 'D', 'Bm', 'Em', 'G', 'G', 'D', 'D', 'D', 'D', 'Bm', 'Em', 'G', 'D', 'Bm', 'Em', 'G', 'G']"
"""Watch Me""",Silentó,not found
"""Earned It""",The Weeknd,"['Gm', 'Dm', 'Gm', 'Am', 'Dm', 'Gm', 'Gm', 'Dm', 'Dm', 'Gm', 'Dm', 'Gm', 'Dm', 'Gm', 'Gm', 'Dm', 'Dm', 'Gm', 'Dm', 'Gm', 'Dm', 'Gm', 'Gm', 'Dm', 'Dm', 'Gm', 'Dm', 'Gm', 'Dm', 'Gm', 'Gm', 'Dm', 'Dm', 'Gm', 'Dm', 'Gm', 'Gm', 'Dm', 'Dm', 'Gm', 'Dm', 'C', 'G', 'F', 'Dm', 'C', 'Bm', 'Bb', 'Dm', 'C', 'Bm', 'Bb', 'Dm', 'C', 'Bm', 'Bb', 'Dm', 'C', 'Bm', 'Bb', 'Dm', 'C', 'Bm', 'Bb', 'Dm', 'C', 'Bm', 'Bb']"
"""The Hills""",The Weeknd,"['Fm', 'Fm', 'Fm', 'Fm', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Bb', 'Fm', 'Ab', 'Cm', 'Bb', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Ab', 'Fm', 'Ab', 'Cm', 'Bb', 'Fm', 'Ab']"
