Title,Artist,Chords
"""Tik Tok""",Kesha,not found
"""Need You Now""",Lady Antebellum,"['F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'F', 'C', 'Em', 'C', 'Em', 'F', 'F', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'F', 'C', 'Em', 'C', 'Em', 'F', 'F', 'Am', 'G/B', 'C', 'F', 'Gsus', 'F', 'Am', 'G', 'C', 'Em', 'C', 'Em', 'F', 'F', 'C', 'Em', 'C', 'Em', 'C', 'Em', 'C', 'Em', 'C']"
"""Hey, Soul Sister""",Train,"['E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'A', 'B', 'E', 'B', 'C#m', 'A', 'B', 'E', 'B', 'C#m', 'A', 'B', 'E']"
"""California Gurls""",Katy Perry featuring Snoop Dogg,"['D/F#', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'F#m', 'G', 'A', 'Bm', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm', 'D/F#', 'G', 'A', 'Bm']"
"""OMG""",Usher featuring will.i.am,"['Bm', 'A', 'A', 'Bm', 'Bm', 'A', 'A', 'Bm', 'Bm', 'A', 'A', 'Bm', 'Bm', 'A', 'A', 'Bm']"
"""Airplanes""",B.o.B featuring Hayley Williams,not found
"""Love the Way You Lie""",Eminem featuring Rihanna,not found
"""Bad Romance""",Lady Gaga,"['Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Am', 'Dm', 'Am', 'C', 'G', 'Am', 'C', 'Am', 'C', 'Am', 'Dm', 'Am', 'C', 'G', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Am', 'Dm', 'Am', 'C', 'G', 'Am', 'C', 'Am', 'C', 'Am', 'Dm', 'Am', 'C', 'G', 'Am', 'C', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Dm', 'Am', 'C', 'Am', 'Am', 'C', 'E', 'Dm', 'Am', 'C', 'Am', 'C', 'E', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Dm', 'G7', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Am', 'C', 'Am']"
"""Dynamite""",Taio Cruz,"['Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Em', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F']"
"""Break Your Heart""",Taio Cruz featuring Ludacris,"['Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D']"
