Title,Artist,Chords
"""We Belong Together""",Mariah Carey,"['Fmaj7', 'G', 'Em7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7']"
"""Hollaback Girl""",Gwen Stefani,"['Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7']"
"""Let Me Love You""",Mario,"['Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am7', 'Em7', 'Bb', 'F', 'C', 'G', 'Bb', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D']"
"""Since U Been Gone""",Kelly Clarkson,not found
"""1, 2 Step""",Ciara featuring Missy Elliott,"['Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Gbm', 'Em', 'Gbm', 'Em', 'Gbm', 'Em', 'Gbm', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Am']"
"""Gold Digger""",Kanye West featuring Jamie Foxx,"['G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7']"
"""Boulevard of Broken Dreams""",Green Day,"['Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'C', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'C', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'C']"
"""Candy Shop""",50 Cent featuring Olivia,not found
"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,"['C#', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm']"
"""Behind These Hazel Eyes""",Kelly Clarkson,"['Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D', 'Am', 'C', 'Em', 'Am', 'C', 'Em', 'Am', 'C', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D']"
