Title,Artist,Chords
"""Last Night""",Morgan Wallen,not found
"""Flowers""",Miley Cyrus,"['Cmaj7', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'E7', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'F', 'E7', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'Cmaj7', 'Am', 'Dm', 'G', 'C', 'Cmaj7', 'Am', 'Dm', 'E7', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'F', 'E7', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'E7', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'F', 'E7', 'F', 'E7', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am', 'Dm', 'G', 'C', 'C/B', 'Am']"
"""Kill Bill""",SZA,"['Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'E', 'Am', 'D', 'G']"
"""Anti-Hero""",Taylor Swift,"['A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m']"
"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage","['Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'C', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'G', 'E', 'Am', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'G', 'Am', 'Em', 'F', 'G', 'E', 'Am', 'Em', 'F', 'G', 'Am', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'G', 'E', 'Am', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'C', 'Em', 'Am', 'Em', 'F', 'C', 'E', 'E', 'Am', 'Em', 'F', 'G', 'E', 'Am', 'Em', 'F', 'G', 'Am', 'Em', 'F', 'C', 'E', 'Am', 'Em', 'F', 'G', 'Am', 'Am', 'Em', 'F', 'C', 'Am', 'Em', 'F', 'C']"
"""Calm Down""",Rema and Selena Gomez,"['D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'A', 'D', 'Dsus2', 'E', 'A', 'D', 'Dsus2', 'E', 'A', 'D', 'D', 'Dsus2', 'A', 'A', 'D', 'Dsus2', 'A', 'A', 'D', 'D', 'Dsus2', 'A', 'A', 'D', 'D', 'Dsus2', 'A', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'A', 'D', 'Dsus2', 'E', 'A', 'D', 'Dsus2', 'E', 'A', 'D', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'A', 'D', 'Dsus2', 'E', 'A', 'D', 'Dsus2', 'E', 'A', 'D', 'D', 'Dsus2', 'A', 'D', 'Dsus2', 'A', 'A']"
"""Die for You""",The Weeknd and Ariana Grande,not found
"""Fast Car""",Luke Combs,"['Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'D', 'C', 'G', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'D', 'C', 'G', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'D', 'C', 'G', 'Em', 'D', 'C', 'Em', 'D', 'C', 'Em', 'D', 'C', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G', 'Em', 'D', 'Cmaj7', 'G']"
"""Snooze""",SZA,"['Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7', 'Dm7', 'Em7', 'Fmaj7']"
"""I'm Good (Blue)""",David Guetta and Bebe Rexha,"['Gm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb', 'Cm', 'Gm', 'F', 'Eb']"
