Title,Artist,Chords
"""Lose Control""",Teddy Swims,"['F#m', 'F#m', 'A/E', 'D/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F', 'F#m', 'A/E', 'D/F#', 'C#sus4/F#', 'C#/F']"
"""A Bar Song (Tipsy)""",Shaboozey,"['Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G', 'D/F#', 'Em', 'G', 'C/G', 'G']"
"""Beautiful Things""",Benson Boone,"['Eb', 'Gbdim7', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Gbdim7', 'Gm', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Cm', 'F', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Gbdim7', 'Gm', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Bb', 'Gm', 'F', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F']"
"""I Had Some Help""",Post Malone featuring Morgan Wallen,"['F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'F', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G']"
"""Lovin on Me""",Jack Harlow,"['Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Am7', 'Bm7', 'C', 'Bm7', 'Am7', 'Bm7', 'C', 'Bm7']"
"""Not Like Us""",Kendrick Lamar,"['G', 'Gb', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'G', 'Gb', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'G', 'Gb', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'G', 'Gb', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'G', 'Gb', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm', 'Bm', 'Em', 'Bm']"
"""Espresso""",Sabrina Carpenter,"['Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9', 'Dm9', 'Em7', 'Am9']"
"""Million Dollar Baby""",Tommy Richman,"['F#m', 'F#m/G#', 'Bm', 'F#m', 'F#m', 'F#m', 'Bm', 'F#m', 'F#m', 'F#m/G#', 'Bm7', 'C#m7', 'F#m7', 'F#m', 'F#m/G#', 'Bm7', 'F#m', 'F#m', 'F#m', 'F#m/G#', 'Bm7', 'F#m', 'F#m', 'F#m/G#', 'Bm7', 'F#m', 'F#m', 'F#m', 'Bm7', 'F#m7', 'F#m7', 'F#m7', 'Bm7', 'F#m7', 'F#m7', 'F#m7', 'Bm7', 'F#m', 'F#m', 'F#m/G#', 'Bm7', 'F#m', 'F#m', 'F#m/G#', 'Bm7', 'F#m']"
"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,"['Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G', 'Am7', 'G', 'C', 'C', 'G', 'Am7', 'Am7', 'G', 'C', 'C', 'G', 'Am7']"
"""Too Sweet""",Hozier,"['G', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'E', 'E', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'G', 'G', 'G', 'G', 'E', 'E', 'E', 'E', 'Am', 'C', 'F', 'F', 'G', 'G', 'E', 'G', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'Am', 'C', 'C', 'F', 'F', 'G', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'G', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'Am', 'C', 'C', 'F', 'F', 'G', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'C', 'E7', 'Am', 'C', 'F', 'C', 'E7']"
