Title,Artist,Chords
"""Shape of You""",Ed Sheeran,"['C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A', 'B', 'C#m', 'F#m', 'A']"
"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,"['Bm', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm']"
"""That's What I Like""",Bruno Mars,"['Ebm9', 'Ebm9', 'Ebm9', 'Ebm9', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Ab7', 'Fm7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Bb7', 'Ebm9', 'Ebm9', 'Ebm7', 'GbM7/Ab', 'Ab7', 'Ab7', 'Fm7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Bb7', 'Ebm9', 'Fm7', 'Abm7', 'GbM7', 'Ebm9', 'Fm7', 'Bbm7', 'Ab', 'F7#5#9', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Fm7', 'Fm7', 'Bbm7', 'Ab', 'Gb', 'Fm7', 'Ebm9', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Ab7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Ebm9', 'Ebm9', 'Ebm9', 'Ebm7', 'GbM7/Ab', 'Ab7', 'Ab7', 'Fm7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Bb7', 'Ebm9', 'Fm7', 'Abm7', 'GbM7', 'Ebm9', 'Fm7', 'Bbm7', 'Ab', 'F7#5#9', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Fm7', 'Fm7', 'Bbm7', 'Ab', 'Gb', 'Fm7', 'GbM7', 'GbM7/Eb', 'GbM9', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'GbM7', 'GbM7/Eb', 'Fm7', 'Abm7', 'Db', 'GbM7', 'F7', 'F', 'Gdim', 'Adim', 'Bbm7', 'Bbm7', 'Ebm9', 'Ebm9', 'F7#5#9', 'Bbm', 'Ab', 'F7#5#9', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Fm7', 'Fm7', 'Ab6/Bb', 'Ab6/Bb', 'Ebm9', 'Ebm9', 'GbM7/Ab', 'Ab7', 'Fm7', 'Fm7', 'Bbm', 'Ab', 'F7#5#9']"
"""Humble""",Kendrick Lamar,"['Fm', 'Gm', 'Fm', 'Gm', 'Fm', 'Gm', 'Fm', 'C#m', 'A#m', 'G#', 'A#m', 'Fm', 'C#m', 'A#m', 'Fm', 'Fm', 'Gm', 'A#m', 'G#', 'Fm', 'Fm', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'A#m', 'G#', 'A#m', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm']"
"""Something Just Like This""",The Chainsmokers and Coldplay,not found
"""Bad and Boujee""",Migos featuring Lil Uzi Vert,"['Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm', 'Ebm']"
"""Closer""",The Chainsmokers featuring Halsey,"['Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb', 'Dbadd9', 'Eb', 'Fm7', 'Eb']"
"""Body Like a Back Road""",Sam Hunt,"['F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F', 'F', 'C', 'Dm', 'Bb', 'F', 'C', 'F']"
"""Believer""",Imagine Dragons,"['Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'Ebm', 'Gb', 'F', 'Bbm', 'Gb', 'Am', 'F', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Ebm', 'Gb', 'A', 'Bbm', 'Gb', 'F', 'Ebm', 'Gb', 'F', 'Bbm', 'Gb', 'Ebm', 'Bbm', 'Gb', 'Ebm', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Ebm', 'Gb', 'A', 'Bbm', 'Gb', 'F', 'Ebm', 'Gb', 'Ebm', 'Gb', 'Ebm', 'Gb', 'Ebm', 'Gb', 'Ab', 'Am', 'E', 'Bbm', 'Gb', 'F', 'Bbm', 'Gb', 'F', 'Bbm', 'Ebm', 'Gb', 'A', 'Bbm', 'Gb', 'F']"
"""Congratulations""",Post Malone featuring Quavo,"['Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7', 'Amaj7', 'Emaj7']"
"""Say You Won't Let Go""",James Arthur,"['B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E']"
