Title,Artist,Chords
"""Heat Waves""",Glass Animals,"['C#m7', 'C#m', 'B', 'G#m', 'F#', 'C#m7', 'C#m', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'F#', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'E', 'E', 'F#', 'F#', 'G#m', 'G#m', 'B', 'B', 'B', 'B', 'E', 'F#', 'G#m', 'D#', 'E', 'F#', 'G#m', 'B', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'B', 'G#m', 'F#', 'C#m', 'B', 'G#m', 'F#', 'E', 'G#m', 'C#m', 'F#']"
"""As It Was""",Harry Styles,"['Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G', 'Am', 'D', 'G', 'C', 'Am', 'D', 'G']"
"""Stay""",The Kid Laroi and Justin Bieber,"['Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Am', 'Em', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'Fmaj9', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'G', 'Am', 'Em', 'Fmaj7', 'G', 'Am', 'Em']"
"""Easy on Me""",Adele,"['C', 'Am7', 'Em', 'Fmaj7', 'G', 'C', 'Am7', 'Em', 'Fmaj7', 'F', 'Fmaj7', 'G', 'C', 'Am7', 'G', 'Em', 'Dm7', 'C', 'Fmaj7', 'G', 'C', 'Am7', 'G', 'Em', 'Dm7', 'C', 'Fmaj7', 'C', 'Am7', 'Em', 'Fmaj7', 'G', 'C', 'Am7', 'Em', 'Fmaj7', 'G', 'C', 'Am7', 'Em', 'Fmaj7', 'Fmaj7', 'G', 'C', 'Am7', 'G', 'Em', 'Dm7', 'C', 'Fmaj7', 'C', 'Am7', 'G', 'Em', 'Dm7', 'C', 'Fmaj7', 'C', 'Am7', 'Em', 'Fmaj7', 'C', 'Am7', 'Em', 'Fmaj7', 'Fmaj7', 'G', 'C', 'Am7', 'G', 'Em', 'Dm7', 'C', 'Fmaj7', 'C', 'Am7', 'G', 'Em', 'Dm7', 'C', 'Fmaj7', 'C', 'Am7', 'Em', 'Fmaj7']"
"""Shivers""",Ed Sheeran,"['Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A']"
"""First Class""",Jack Harlow,"['Em', 'Cmaj7', 'Cmaj7', 'Em7', 'Em7', 'Cmaj7', 'Cmaj7', 'Em7', 'Em7', 'Cmaj7', 'Cmaj7', 'Em', 'Em', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Em7', 'Em7', 'Em', 'Cmaj7', 'Em', 'Em', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Cmaj7', 'Em7', 'Em7', 'Cmaj7', 'Cmaj7', 'Em7', 'Em7', 'Em7']"
"""Big Energy""",Latto,"['G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em', 'G', 'Am', 'Em']"
"""Ghost""",Justin Bieber,"['Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Em', 'F#m', 'G', 'G', 'Bm', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Em', 'F#m', 'G', 'G', 'Bm', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A']"
"""Super Gremlin""",Kodak Black,not found
"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa,"['Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em', 'Am7', 'Dm7', 'F', 'Em']"
