No.,Title,Artist,Lyrics_URL
54,"""My Boo""",Usher and Alicia Keys,https://genius.com/Tony-yayo-curious-lyrics
55,"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",https://genius.com/Trick-daddy-sugar-remix-lyrics
56,"""Karma""",Alicia Keys,https://genius.com/Alicia-keys-karma-lyrics
57,"""Speed of Sound""",Coldplay,https://genius.com/Coldplay-speed-of-sound-lyrics
58,"""I Don't Want to Be""",Gavin DeGraw,https://genius.com/Gavin-degraw-i-dont-want-to-be-lyrics
59,"""Mockingbird""",Eminem,https://genius.com/Eminem-mockingbird-lyrics
60,"""La Tortura""",Shakira featuring Alejandro Sanz,https://genius.com/Genius-lists-spanglish-songs-list-of-songs-in-english-and-spanish-lista-de-canciones-en-espanol-e-ingles-annotated
61,"""She Will Be Loved""",Maroon 5,https://genius.com/Maroon-5-she-will-be-loved-lyrics
62,"""Baby I'm Back""",Baby Bash featuring Akon,https://genius.com/Baby-bash-baby-im-back-ft-akon-lyrics
63,"""Wait (The Whisper Song)""",Ying Yang Twins,https://genius.com/Ying-yang-twins-wait-the-whisper-song-lyrics
64,"""Incomplete""",Backstreet Boys,https://genius.com/Backstreet-boys-incomplete-lyrics
65,"""Bring Em Out""",T.I.,https://genius.com/Ti-bring-em-out-lyrics
66,"""Cater 2 U""",Destiny's Child,https://genius.com/Destinys-child-cater-2-u-lyrics
67,"""1 Thing""",Amerie,https://genius.com/Amerie-1-thing-lyrics
68,"""Best of You""",Foo Fighters,https://genius.com/Foo-fighters-best-of-you-lyrics
69,"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,https://genius.com/Mariah-carey-its-like-that-mixed-lyrics
70,"""Goin' Crazy""",Natalie,https://genius.com/Natalie-alvarado-goin-crazy-lyrics
71,"""Inside Your Heaven""",Carrie Underwood,https://genius.com/Carrie-underwood-inside-your-heaven-lyrics
72,"""Because of You""",Kelly Clarkson,https://genius.com/Kelly-clarkson-because-of-you-lyrics
73,"""Truth Is""",Fantasia,https://genius.com/Fantasia-truth-is-lyrics
74,"""Your Body""",Pretty Ricky,https://genius.com/Pretty-ricky-your-body-lyrics
75,"""Beautiful Soul""",Jesse McCartney,https://genius.com/Jesse-mccartney-beautiful-soul-lyrics
76,"""Cool""",Gwen Stefani,https://genius.com/Gwen-stefani-cool-lyrics
77,"""Get Back""",Ludacris,https://genius.com/Ludacris-get-back-lyrics
78,"""Outta Control""",50 Cent featuring Mobb Deep,https://genius.com/Lay-on-the-pedaltm-isolation-smoothie-blue-remix-lyrics
79,"""U Don't Know Me""",T.I.,https://genius.com/Ti-u-dont-know-me-lyrics
80,"""These Words""",Natasha Bedingfield,https://genius.com/Natasha-bedingfield-these-words-lyrics
81,"""Don't Lie""",The Black Eyed Peas,https://genius.com/Genius-users-fergie-unreleased-songs-discography-list-annotated
82,"""Get Right""",Jennifer Lopez,https://genius.com/Jennifer-lopez-get-right-lyrics
83,"""Daughters""",John Mayer,https://genius.com/John-mayer-daughters-lyrics
84,"""As Good as I Once Was""",Toby Keith,https://genius.com/Toby-keith-as-good-as-i-once-was-lyrics
85,"""Girlfight""",Brooke Valentine featuring Lil Jon and Big Boi,https://genius.com/Brooke-valentine-girlfight-feat-big-boi-and-lil-jon-lyrics
86,"""Lose My Breath""",Destiny's Child,https://genius.com/Destinys-child-lose-my-breath-lyrics
87,"""Ordinary People""",John Legend,https://genius.com/John-legend-ordinary-people-lyrics
88,"""We Be Burnin'""",Sean Paul,https://genius.com/Prezidential-candidates-im-goin-in-remix-lyrics
89,"""Just the Girl""",The Click Five,https://genius.com/The-click-five-just-the-girl-lyrics
90,"""True""",Ryan Cabrera,https://genius.com/Ryan-cabrera-true-lyrics
91,"""O""",Omarion,https://genius.com/Omarion-o-lyrics
92,"""Back Then""",Mike Jones,https://genius.com/Mike-jones-back-then-lyrics
93,"""Numb/Encore""",Jay-Z and Linkin Park,https://genius.com/Genius-deutsche-ubersetzungen-jay-z-and-linkin-park-numb-encore-deutsche-ubersetzung-lyrics
94,"""Wonderful""",Ja Rule featuring R. Kelly and Ashanti,https://genius.com/Genius-brasil-traducoes-ja-rule-wonderful-ft-r-kelly-and-ashanti-traducao-em-portugues-lyrics
95,"""I'm Sprung""",T-Pain,https://genius.com/T-pain-im-sprung-lyrics
96,"""Chariot""",Gavin DeGraw,https://genius.com/Gavin-degraw-chariot-lyrics
97,"""U Already Know""",112 featuring Foxy Brown,https://genius.com/112-u-already-know-roc-a-fella-remix-lyrics
98,"""Mississippi Girl""",Faith Hill,https://genius.com/Faith-hill-mississippi-girl-lyrics
99,"""Number One Spot""",Ludacris,https://genius.com/Ludacris-number-one-spot-lyrics
100,"""Give Me That""",Webbie featuring Bun B,https://genius.com/Webbie-give-me-that-lyrics
