No.,Title,Artist,Lyrics_URL,Lyrics
1,"""Last Night""",Morgan Wallen,https://genius.com/Morgan-wallen-last-night-lyrics,"Last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night I kissed your lips
Make you grip the sheets with your fingertips
Last bottle of Jack, we split a fifth
Just talkin' 'bout life, goin' sip for sip
Yeah, you, you know you love to fight
And I say shit I don't mean
But I'm still gon' wake up wantin' you and me
I know that last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night 
No way it was our last night 
No way it was the last night that we break up
I see your tail lights in the dust
You call your mama, I call your bluff
In the middle of the night, pull it right back up
Yeah, my, my friends say, ""Let her go""
Your friends say, ""What the hell?""
I wouldn't trade your kind of love for nothin' else
Oh, baby, last night, we let the liquor talk
I can't remember everything we said, but we said it all
You told me that you wish I was somebody you never met
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night, we said we'd had enough
I can't remember everything we said, but we said too much
I know you packed your shit and slammed the door right before you left
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night 
No way it was our last night 
I know you said this time you really weren't comin' back again
But, baby, baby, something's tellin' me this ain't over yet
No way it was our last night 
No way it was our last night "
2,"""Flowers""",Miley Cyrus,https://genius.com/Miley-cyrus-flowers-lyrics,"We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn
Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I
I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said
Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I
I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I 
I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I
I can buy myself flowers 
Write my name in the sand
Talk to myself for hours 
Say things you don't understand 
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can
Can love me better, I can love me better, baby 
Can love me better, I can love me better, baby 
Can love me better, I can love me better, baby
Can love me better, I"
3,"""Kill Bill""",SZA,https://genius.com/Sza-kill-bill-lyrics,"I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should
I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone
I get the sense that it's a lost cause
I get the sense that you might really love her
This text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crime of passion, but damn
You was out of reach
You was at the farmer's market with your perfect peach
Now I'm in the basement plannin' home invasion
Now you layin' face-down, got me singin' over a beat
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will
I might 
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone
I did it all for love 
I did it all on no drugs 
I did all of this sober
I did it all for us, oh
I did it all for love 
I did all of this on no drugs 
I did all of this sober
Don't you know I did it all for us? 
Oh, I just killed my ex , not the best idea 
Killed his girlfriend next, how'd I get here? 
I just killed my ex , I still love him though 
Rather be in Hell than alone"
4,"""Anti-Hero""",Taylor Swift,https://genius.com/Taylor-swift-anti-hero-lyrics,"I have this thing where I get older, but just never wiser
Midnights become my afternoons
When my depression works the graveyard shift
, 
all of the people
I've ghosted stand there in the room
I should not be left to my own devices
They come with prices and vices
I end up in crisis
I wake up screaming from dreaming
One day, I'll watch as you're leaving
'Cause you got tired of my scheming
It's me, hi
I'm the problem, it's me
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero
Sometimes, I feel like everybody is a sexy baby
And I'm a monster on the hill
Too big to hang out, slowly lurching toward your favorite city
Pierced through the heart, but never killed
Did you hear my covert narcissism I disguise as altruism
Like some kind of congressman?
I wake up screaming from dreaming
One day, I'll watch as you're leaving
And life will lose all its meaning
It's me, hi
I'm the problem, it's me 
At teatime, everybody agrees
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero
I have this dream my daughter-in-law kills me for the money
She thinks I left them in the will
The family gathers 'round and reads it and then someone screams out
""She's laughing up at us from Hell""
It's me, hi
I'm the problem, it's me
It's me, hi
I'm the problem, it's me
It's me, hi
Everybody agrees, everybody agrees
It's me, hi 
I'm the problem, it's me 
At teatime , everybody agrees 
I'll stare directly at the sun, but never in the mirror
It must be exhausting always rooting for the anti-hero"
5,"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage",https://genius.com/Thehills79-2023-thehills79-listening-log-annotated,"January 7, 2023
""Cyberpunk"" by ATEEZ ⚡
""Halazia"" by ATEEZ
""The Ring"" by ATEEZ ⚡
""Talk that Talk"" by TWICE 🌊
SKZ-REPLAY
 by Stray Kids 💖
January 10, 2023
""Out thë way"" by Yeat
""28 Reasons"" by Seulgi
""ILLELLA"" by MAMAMOO
""i/=doll"" by Yunjin 💖
Street Man Fighter Vol. 3
 by Various Artists ⚡
January 11, 2023
""10:35"" by Tiesto ft. Tate McRae
""Boom Boom Pow"" by Afrojack
""Where Are You Now"" by Lost Frequencies ft. Calum Scott
""Under the Influence"" by Krmoni
""Dark Is All I See"" by Naeleck
""Burning Up"" by Donnell Pitman
January 15, 2023
""Come Back Home"" by BTS ⚡
January 16, 2023
SOS
 by SZA
January 27, 2023
""are we done yet?"" by VÉRITÉ 💖
""Marigold"" by M.I.A.
""Oh, Lover"" by Röyksopp, Susanne Sundfør 💖
January 28, 2023
""Yeska"" by Nio Garcia ⚡
January 29, 2023
""Every Boy"" by Miss Benny
""One Damn Good Mistake"" by Miss Benny
""That's My Man"" by Miss Benny
""Hypnocurrency"" by Rezz ft. deadmau5
Certain Kind of Magic
 by Rezz
January 30, 2023
Spiral
 by Rezz
February 6, 2023
""Flowers"" by Miley Cyrus
February 7, 2023
""Sector 1"" by ATEEZ
February 8, 2023
""Stay Alive"" by Jungkook
February 11, 2023
The Name Chapter: TEMPTATION
 by TOMORROW X TOGETHER 💖
February 8, 2023
""Vibe"" by TAEYANG ft. Jimin
February 18, 2023
""Thenmozhi"" by Santhosh Narayanan ft. Anirudh Ravichander ⚡ 
""Don't Say Goodbye"" by Alok & Ilkay Sencan ft. Tove Lo
""Gundellonaa"" by Anirudh Ravichander ft. Leon James, Kasarla Shyam ⚡
""Chilla Chilla"" by Ghibran ft. Anirudh Ravichander, vaisagh
February 19, 2023
""Empty"" by Donny
""The Way I Am"" by Donny
""Ay-Yo"" by NCT 127
""Tippy Toes"" by XG
""Shooting Star by XG
""รักนะเว้ย"" by MILLI ft. NAMEMT
February 25, 2023
""Back in Vogue"" by AleXa
""Dice by NMIXX
""Enemy"" by KARD
THE SOUND
 by Stray Kids
February 28, 2023
""Door"" by Kwon Eun Bi
""Ocean View"" by Rothy ft. Chanyeol
FEARLESS
 by Le Sserafim
ANTIFRAGILE
 by Le Sserafim
THE FIFTY
 by Fifty Fifty 💖
March 6, 2023
""on the street"" by j-hope ft. J. Cole
March 15, 2023
""Players"" by Coi Leray ⚡
""Boys A Liar Pt. 2"" by Pink Pantheress ft. Ice Spice
""Creepin'"" by Metro Boomin ft. The Weeknd, 21 Savage
March 19, 2023
""Calm Down"" by Rema ft. Selena Gomez ⚡
""Fetish - Galantis Remix"" by Selena Gomez ft. Galantis ⚡
April 4, 2023
""Kalyana Vayasu"" by Anirudh Ravichander 💖
""Beast Mode"" by Anirudh Ravichander ⚡
""Vikram - Title Track"" by Anirudh Ravichander ⚡
""Mallipoo"" by A.R. Rahman ft. Madhushree
""Vaa Vaathi"" by G.V. Prakash Kumar ft. Shweta Mohan
""Yaayum"" by Shabir Sulthan ft. Naresh Iyer, Rita
April 8, 2023
""Nonsense"" by Sabrina Carpenter
""Escapism"" by RAYE ft. 070 Shake 💖
April 9, 2023
""Cupid"" by FIFTY FIFTY 💖
CHARICE
 by Charice
April 10, 2023
""December Back 2 June"" by Alicia Keys
KEYS
 by Alicia Keys 💖
April 14, 2023
""City of Gods"" by Kanye West ft. Alicia Keys, Fivio Foreign ⚡
""Un-thinkable "" by Alicia Keys ⚡
""Empire State of Mind "" by Alicia Keys ⚡
April 16, 2023
""Kill Bill - Remix"" by SZA ft. Doja Cat 🌊
April 17, 2023
""Wasted"" by Anirudh Ravichander⚡
April 18, 2023
Thiruchitrambalam - Soundtrack
 by Anirudh Ravichander
April 19, 2023
lately i feel everything
 by WILLOW
April 22, 2023
""Buff Baby"" by Tobi Lou
""Darlin'"" by Tobi Lou
""Uncle Iroh"" by Tobi Lou
""Comfort Chain"" by 
""Way Up"" by Jaden
D-Day
 by Agust D ⚡
April 30, 2023
""Emotion"" by Molly Burch ft. Wild Nothing 💖
""I Really Fucked It Up"" by Girli 💖
""Sloppy"" by KiNG MALA ft. Upsahl
""Friday Night"" by Sobs
""Trees"" by Maude Latore
""Superfruit"" by Maude Latore
May 2, 2023
""In the Honey"" by Wafia
""Be Fine"" by Ekali ft. Wafia
""Kadhal Kaditham"" by A.R. Rahman ft. S. Janaki, Unni Menon
""Ennakoru Snehidhi"" by S.A. Rajkumar ft. Hariharan, Mahalakshmi Iyer
May 5, 2023
""I Don't Like Myself"" by Girli
""Slip!"" by Aziya ⚡
May 10, 2023
Hot Pink
 by Doja Cat ⚡
May 12, 2023
""Looped Up"" by Tobi Lou ft. VERNON 🌊
""Endorphins"" by Tobi Lou
""Payday"" by Doja Cat 🌊
May 17, 2023
""Baby, I'm Jealous"" by Bebe Rexha ft. Doja Cat ⚡
""Make That Cake"" by LunchMoney Lewis ft. Doja Cat ⚡
May 23, 2023
""Fire for You"" by Cannons 🌊
May 30, 2023
""Bite Me"" by Enhypen ⚡
""Ladio"" by A.R. Rahman ft. Nikhita Gandhi
""Spicy"" by Aespa 🌊
""Unforgiven"" by Le Sserafim 🌊
May 31, 2023
""Sparkling"" by Chung Ha 🌊
June 6, 2023
""Porkanda Singam"" by Anirudh Ravichander ft. Ravi G 💖
""""Porkanda Singam "" by Anirudh Ravichander 💖
""Vaan Megam Poo Poovai"" by Ilaiyaraaja ft. K.S. Chithra
June 9, 2023
""BOYTOY"" by Halle Abadi
""Everywhere"" by Niall Horan
""Shameless"" by Camila Cabello
""Mad Love"" by Mabel
""This Love "" by Taylor Swift
""golden hour"" by JVKE
""Hurts So Good"" by Astrid S
""Collide  by Justine Skye ft. Tyga
""Cross Your Mind"" by Sabrina Claudio
""Hands"" by Mike Perry ft. The Vamps, Sabrina Carpenter
""Pretty Please"" by Dua Lipa
""Pretty Girls Walk"" by Big Boss Vette
""Raatan Lambiyan"" by Tanishk Bagchi ft. Jubin Nautiyal, Asees Kaur
""Tere Pyaar Mein"" by Pritam ft. Arjit Singh, Amitabh Bhattacharya, Nikhita Gandhi
""Flower"" by JISOO
June 13, 2023
""ID3"" by Rezz
June 14, 2023
""craigslist personals"" by WRENN
""tell me what you want"" by dacelynn
why am i like this??
 by girli ⚡
June 16, 2023
""Say"" by H33RA ⚡
""Passive Aggressive"" by girli 💖
""Attention"" by Doja Cat
""Bouncy"" by ATEEZ ⚡
5-STAR
 by Stray Kids
June 18, 2023
""Mainaru Vetti Katti"" by Santhosh Narayanan ft. Anirudh Ravichander, Dhee, Muthamil
June 19, 2023
""Atomic"" by Aziya ⚡
We Speak of Tides
 by Aziya
June 23, 2023
""i like u"" by Tove Lo 
""Borderline"" by Tove Lo
""The Way That I Am"" by Tove Lo
evermore
 by Taylor Swift 
June 24, 2023
""Naa Ready"" by Anirudh Ravichander ft. Thalapathy Vijay, Asal Kolaar
The World Ep. 2: OUTLAW
 by ATEEZ ⚡
Planet Her
 by Doja Cat 💖
June 29, 2023
""You Wish"" by Flyana Boss
""Princess Diana"" by Ice Spice ft. Nicki Minaj 
""Eve, Psyche & The Bluebeard's wife"" by LE SSERAFIM ⚡
""Maan Meri Jaan "" by King ft. Nick Jonas
June 30, 2023
""Shy Boy"" by Carly Rae Jepsen ⚡
""vampire"" by Olivia Rodrigo💖
Dedicated Side B
 by Carly Rae Jepsen 💖
July 2, 2023
""Red Wine Supernova"" by Chappell Roan
""Bet on Me"" by ITZY
July 8, 2023
Amala 
 by Doja Cat ⚡
Planet Her 
 by Doja Cat 💖
July 10, 2023
""Tattoos"" by Reneé Rapp 💖
""Snow Angel"" by Reneé Rapp
Emotion Side B
 by Carly Rae Jepsen
Everything to Everyone 
 by Reneé Rapp 💖
July 15, 2023
Palo Santo 
 by Years & Years
July 18, 2023
""I LUV U"" by Mia Rodriguez
""Shut Up"" by Mia Rodriguez
August 1, 2023
""Kaatumalli""
""Cake"" by ITZY
August 5, 2023
""Kaavala"" by Anirudh Ravichander
""Nenjame Nenjame"" by A.R. Rahman
""Hukum"" by Anirudh Ravichander
""Ivan Edam Thaan"" by Anirudh Ravichander
My Power
guess who?
shoong!
i am
kitsch
seven
stray kids 5-star & japanese
angel
5sos
jailer
9/30/2023
spiderman
andipatti
tumbum by yemi alade
looking at me by sabrina carpenter
heaven by taemin
cake by itzy
crazy like you
SMF
single soon by selena gomez
bongos by cardi b and megan thee stallion
princess diana by ice spice ft. nicki minaj
that girl by bree runway
on my own by jaden ft. kidcudi
sad bitch bad bitch
10/1/2023
rush by Troye Sivan
10/4/2023
heroes & villains
10/7/2023
chun-li
10/8/2023
last time i saw you by nicki minaj
10/9/2023
nightcall  byYears & Years
10/11/2023
psychofreak by camila cabello ft. WILLOW
he's not you by verite
10/26/2023
erys by jaden
sabrina carpenter singular act pt. ii"
6,"""Calm Down""",Rema and Selena Gomez,https://genius.com/Rema-calm-down-lyrics,"(
Vibez
)
Another banger
Baby, calm down, calm down
Girl, this your body e put my heart for lockdown, for lockdown, oh, lockdown
Girl, you sweet like Fanta, ooh, Fanta, ooh
If I tell you say, ""I love you,"" 
no dey form yanga, oh, oh, yanga, oh
No tell me no, no, no, no, whoa, whoa, whoa, whoa
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-whoa-whoa-whoa-whoa-whoa
You got me like, ""Whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa""
Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-whoa-whoa-whoa-whoa-whoa, mm-hm
I see this fine girl for my party, she wear yellow
Every other girl, they dey do too much but this girl mellow
Na'im I dey find situation I go use take tell am, ""Hello""
Finally, I find way to talk to the girl, but she no wan follow
Who you come dey form for-whoa? 
Why you no wan conform-whoa? 
Then I start to feel her bum-bum, warm 
But she dey gimme small, small-whoa
I know say she sabi pass that one-one 
But she feeling insecure-whoa
'Cause her friends go dey gum her like chewing gum-whoa 
Go dey gum her like chewing gum-whoa, whoa-whoa, oh
Baby, calm down, calm down
Girl, this your body e put my heart for lockdown, for lockdown, oh, lockdown
Girl, you sweet like Fanta, ooh, Fanta, ooh
If I tell you say, ""I love you,"" 
no dey form yanga, oh, oh, yanga, oh
No tell me no, no, no, no, whoa, whoa, whoa, whoa
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-whoa-whoa-whoa-whoa-whoa
You got me like, ""Whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa""
Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-whoa-whoa-whoa-whoa-whoa, mm-hm
As I reach my house, I say make I rest small-whoa 
As me I wake up, na she dey my mind, oh-whoa 
Day one, day two-wo, I no fit focus 
Na so me I call am, say, ""Make we link up"" 
As I start to dey tell her how I feel, now my heart dey race
Baby girl, if you leave me, I no go love again
Because e get many girls wey put my heart for pain
Shebi, you feel my pain? Yeah, yeah
Baby, calm down, calm down
Girl, this your body e put my heart for lockdown, for lockdown, oh, lockdown
Girl, you sweet like Fanta, ooh, Fanta, ooh
If I tell you say, ""I love you,"" 
no dey form yanga, oh, oh, yanga, oh
No tell me no, no, no, no, whoa, whoa, whoa, whoa
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-whoa-whoa-whoa-whoa-whoa
You got me like, ""Whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa-whoa""
Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-whoa-whoa-whoa-whoa-whoa, mm-hm"
7,"""Die for You""",The Weeknd and Ariana Grande,https://genius.com/The-weeknd-die-for-you-lyrics,"I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you 
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah
You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah 
I'm findin' ways to manipulate the feelin' you're goin' through
But, baby girl, I'm not blamin' you
Just don't blame me, too, yeah
'Cause I can't take this pain forever
And you won't find no one that's better
'Cause I'm right for you, babe
I think I'm right for you, babe
You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you, uh
Baby, I would die for you, yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na-na
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah "
8,"""Fast Car""",Luke Combs,https://genius.com/Luke-combs-fast-car-lyrics,"You got a fast car
And I want a ticket to anywhere
Maybe we make a deal
Maybe together we can get somewhere
Any place is better
Startin' from zero, got nothin' to lose
Maybe we'll make something
Me, myself, I got nothin' to prove
You got a fast car
And I got a plan to get us out of here
Been workin' at the convenience store
Managed to save just a little bit of money
Won't have to drive too far
Just across the bordеr and into the city
And you and I can both get jobs
Finally see what it means to bе livin'
See, my old man's got a problem
He live in the bottle, that's the way it is
He said his body's too old for workin'
His body's too young to look like his
So Mama went off and left him
She wanted more from life than he could give
I said, ""Somebody's gotta take care of him""
So I quit school and that's what I did
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone
You got a fast car
We go cruisin', entertain ourselves
You still ain't got a job
So I work in the market as a checkout girl
I know things will get better
You'll find work and I'll get promoted
And we'll move out of the shelter
Buy a bigger house, live in the suburbs
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone
You got a fast car
I got a job that pays all our bills
You stay out drinkin' late at the bar
See more of your friends than you do your kids
I'd always hoped for better
Thought maybe together you and me'd find it
I got no plans, I ain't goin' nowhere
Take your fast car and keep on driving
So I remember when we were driving, driving in your car
Speed so fast, I felt like I was drunk
City lights lay out before us
And your arm felt nice wrapped around my shoulder
And I, I had a feeling that I belonged
I, I had a feeling I could be someone, be someone, be someone
You got a fast car
Is it fast enough so we can fly away?
Still gotta make a decision
Leave tonight or live and die this way"
9,"""Snooze""",SZA,https://genius.com/Sza-snooze-lyrics,"Ooh
I think I know
I'll touch that fire for you
I do that three, four times again, I testify for you
I told that lie, I'd kill that bitch
I do what all of them around you scared to do, I'm not
Long as you juggin' out here for me, I got it
Mobbin', schemin', lootin', hide your bodies
Long as you dreamin' 'bout me, ain't no problem
I don't got nobody, just with you right now
Tell the truth, I look better under you
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
I can't just snooze and miss the moment
You just too important
Nobody do body like you do, you do
In a droptop ride with you, I feel like Scarface 
Like that white bitch with the bob, I'll be your main one 
Lеt's take this argument back up to my place 
Sex remind you I'm nonviolent, I'm your day one 
We ain't have shit yet, it was magic, yeah
Smash and grab shit, yeah
Nasty habits take a hold when you not here
Ain't a home when you not here
Hard to grow when you not here, I'm sayin'
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do, you do
Main one ridin'
How you frontin' on me and I'm the main one tryin'?
How you blame it on me and you the main one lyin'?
How you threatenin' to leave and I'm the main one cryin'?
Just tryna be your everything
Main one ridin'
How you frontin' on me and I'm the main one tryin'?
How you blame it on me and you the main one lyin'?
How you threatenin' to leave and I'm the main one cryin'?
I can't lose when I'm with you 
How can I snooze and miss the moment? 
You just too important
Nobody do body like you do
I can't lose when I'm with you 
How can I snooze and miss the moment? 
You just too important
Nobody do body like you do, you do
Nah, nah, nah, nah
I think I know, woah
See, no, I can't lose, oh
I think I know, oh"
10,"""I'm Good (Blue)""",David Guetta and Bebe Rexha,https://genius.com/David-guetta-and-bebe-rexha-im-good-blue-lyrics,"I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
Don't you know I'm good, yeah, I'm feelin' alright
You know I'm down for whatever tonight
I don't need the finer things in life
No matter where I go, it's a good time, yeah
And I, I don't need to sit in VIP
Middle of the floor, that's where I'll be
Don't got a lot, but that's enough for me, yeah
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright
I'm good
Good
I'm good
Don't you know I'm good, yeah, I'm feelin' alright
So I just let it go, let it go
Oh, na-na-na-na-na
No, I don't care no more, care no more
Oh, na-na-na-na-na
So come on, let me know, let me know
Put your hands up, na-na-na
No, baby, nothing's gonna stop us tonight
'Cause I'm good, yeah, I'm feelin' alright
Baby, I'ma have the best fuckin' night of my life
And wherever it takes me, I'm down for the ride
Baby, don't you know I'm good, yeah, I'm feelin' alright"
