Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Boom Boom Pow""",The Black Eyed Peas,"(0, 3)","(-1, 1)"
"""Poker Face""",Lady Gaga,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Just Dance""",Lady Gaga featuring Colby O'Donis,"(1, 7)","(2, -2)"
"""I Gotta Feeling""",The Black Eyed Peas,"(4, 6, 4, 1)","(5, 4, -4, -5)"
"""Love Story""",Taylor Swift,"(5, 6, 4, 5, 1)","(2, -4, 2, 5)"
"""Right Round""",Flo Rida,"(1, 6, 7, 1, 6, 1, 7, 1)","(2, 2, -4, 4, -2, 2, 0, -4)"
"""I'm Yours""",Jason Mraz,not found,not found
"""Single Ladies (Put a Ring on It)""",Beyoncé,not found,not found
"""Heartless""",Kanye West,"(1, 7, 1)","(2, 5, -4, -3)"
"""Gives You Hell""",The All-American Rejects,"(4, 1, 6)","(-4, -5, -3)"
"""You Belong with Me""",Taylor Swift,"(1, 5, 2, 4)","(-5, -5, 3, -5)"
"""Dead and Gone""",T.I. featuring Justin Timberlake,"(5, 4, 5, 1)","(-5, -2, 2, 5)"
"""You Found Me""",The Fray,"(0, 0, 4, 5)","(-5, -5, 2, -4)"
"""Use Somebody""",Kings of Leon,"(0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4)","(5, 4, 3)"
"""Knock You Down""",Keri Hilson featuring Kanye West and Ne-Yo,not found,not found
"""Blame It""",Jamie Foxx featuring T-Pain,"(1, 7, 1, 5, 2, 4, 3)","(-1, 1, -5, -5, 3, -1, -4)"
"""I Know You Want Me (Calle Ocho)""",Pitbull,not found,not found
"""Live Your Life""",T.I. featuring Rihanna,"(1, 3, 7, 6)","(3, -5, -2, 4)"
"""Kiss Me thru the Phone""",Soulja Boy Tell 'Em featuring Sammie,not found,not found
"""Down""",Jay Sean featuring Lil Wayne,"(1, 5)","(-5, -5, 5, -5, -2, 0)"
"""The Climb""",Miley Cyrus,"(1, 1, 4, 2)","(-3, -2, 5, -3)"
"""Best I Ever Had""",Drake,"(1, 7, 4)","(-5, -5, -2)"
"""My Life Would Suck Without You""",Kelly Clarkson,"(6, 4, 5, 1)","(5, -5, 4, 5)"
"""Halo""",Beyoncé,not found,not found
"""Hot n Cold""",Katy Perry,"(1, 5, 2, 4)","(-5, -5, 3, -5)"
"""Second Chance""",Shinedown,"(3, 4, 6, 1)","(3, 2, 3, 4)"
"""Circus""",Britney Spears,"(1, 2, 0)","(-1, -1, 2, -1)"
"""Day 'n' Nite""",Kid Cudi,"(1, 6, 3, 5)","(-3, -5, 3, 2)"
"""Party in the U.S.A.""",Miley Cyrus,not found,not found
