Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Last Night""",Morgan Wallen,not found,not found
"""Flowers""",Miley Cyrus,"(1, 6, 2, 5, 1)","(7, -5, 7, 0, -9)"
"""Kill Bill""",SZA,"(1, 4, 7, 5)","(-5, 3, -5, 7)"
"""Anti-Hero""",Taylor Swift,"(1, 5, 2, 3)","(5, -7, 10, -8)"
"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage","(5, 6, 3, 5, 1)","(5, -1, 5, -4, -5)"
"""Calm Down""",Rema and Selena Gomez,"(1, 1, 5)","(-7, 7, 0, -7)"
"""Die for You""",The Weeknd and Ariana Grande,not found,not found
"""Fast Car""",Luke Combs,"(2, 1, 5, 3)","(2, 2, -7, 3)"
"""Snooze""",SZA,"(3, 1, 2)","(-2, -1, 3)"
"""I'm Good (Blue)""",David Guetta and Bebe Rexha,"(1, 7, 6, 4)","(2, 2, 3, -7)"
"""Unholy""",Sam Smith and Kim Petras,"(7, 1)","(-1, 1)"
"""You Proof""",Morgan Wallen,"(5, 1, 3)","(-4, -3, 7)"
"""Something in the Orange""",Zach Bryan,"(1, 6, 3, 7)","(5, -2, 4, -7)"
"""Rich Flex""",Drake and 21 Savage,not found,not found
"""As It Was""",Harry Styles,"(1, 4, 7, 3)","(7, -5, 7, -9)"
"""Rock and a Hard Place""",Bailey Zimmerman,"(3, 6, 3, 1, 3, 6, 1)","(9, -5, 5, -9, 9, -5, -4)"
"""Under the Influence""",Chris Brown,"(1, 3, 6, 7)","(-2, -2, 9, -5)"
"""Cruel Summer""",Taylor Swift,"(5, 7, 3, 1)","(-4, 7, 4, -7)"
"""Thinkin' Bout Me""",Morgan Wallen,"(1, 7, 6, 3, 4)","(5, -2, 5, 2, -10)"
"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,not found,not found
"""Favorite Song""",Toosii,"(5, 6, 5, 4, 1)","(2, 2, 5, -7, -2)"
"""Thought You Should Know""",Morgan Wallen,"(1, 5, 2)","(-7, 2, 5)"
"""Thank God""",Kane Brown and Katelyn Brown,not found,not found
"""Sure Thing""",Miguel,"(1, 0, 5, 4)","(-3, -4, 2, 5)"
"""All My Life""",Lil Durk featuring J. Cole,not found,not found
"""Ella Baila Sola""",Eslabon Armado and Peso Pluma,"(7, 5, 1, 7, 6)","(2, 2, -2, -9, 7)"
"""Karma""",Taylor Swift featuring Ice Spice,"(5, 0, 4, 1)","(-7, 9, -7, 5)"
"""Just Wanna Rock""",Lil Uzi Vert,not found,not found
"""Cuff It""",Beyoncé,not found,not found
"""Vampire""",Olivia Rodrigo,"(5, 0, 1, 1)","(-4, -1, 0, 5)"
"""FukUMean""",Gunna,"(1, 1, 1, 4)","(0, 0, -5, 5)"
"""Lavender Haze""",Taylor Swift,"(6, 1, 2)","(-2, -7, 9)"
"""Players""",Coi Leray,not found,not found
"""Need a Favor""",Jelly Roll,"(1, 3, 7, 4)","(5, -7, 5, -3)"
"""Dance the Night""",Dua Lipa,"(0, 0, 0, 0)","(-5, 5)"
"""Love You Anyway""",Luke Combs,"(6, 5, 1, 4)","(-4, 2, 7, -5)"
"""One Thing at a Time""",Morgan Wallen,not found,not found
"""Superhero (Heroes & Villains)""","Metro Boomin, Future and Chris Brown",not found,not found
"""Bad Habit""",Steve Lacy,not found,not found
"""La Bebé""",Yng Lvcas and Peso Pluma,not found,not found
"""Golden Hour""",Jvke,not found,not found
"""Religiously""",Bailey Zimmerman,"(4, 1, 5, 6)","(4, 5, -7, -2)"
"""Spin Bout U""",Drake and 21 Savage,not found,not found
"""Cupid""",Fifty Fifty,"(7, 5, 1, 4)","(7, -9, 7, -5)"
"""Search & Rescue""",Drake,not found,not found
"""Barbie World""",Nicki Minaj and Ice Spice with Aqua,not found,not found
"""Next Thing You Know""",Jordan Davis,"(1, 6, 5, 4, 1)","(-9, 2, 2, 5)"
"""Escapism""",Raye featuring 070 Shake,"(1, 7, 4, 7, 1, 5)","(2, -7, 7, -2)"
"""Un x100to""",Grupo Frontera and Bad Bunny,"(7, 3, 7, 1, 7, 6, 2, 1)","(1, -5, 5, -1, 1, -10, 7, 2)"
"""Until I Found You""",Stephen Sanchez,"(4, 4, 1, 3)","(0, -7, 8, -1)"
"""Shirt""",SZA,not found,not found
"""Paint the Town Red""",Doja Cat,"(1, 2)","(-2, 2)"
"""Made You Look""",Meghan Trainor,"(1, 1, 1, 1)","(8, -5, 4, -2)"
"""Wait in the Truck""",Hardy featuring Lainey Wilson,not found,not found
"""All I Want for Christmas Is You""",Mariah Carey,not found,not found
"""Everything I Love""",Morgan Wallen,"(1, 1, 1, 1)","(5, 2, -7, 0)"
"""Chemical""",Post Malone,"(4, 4, 6, 5)","(0, -4, 2, 2)"
"""Heart Like a Truck""",Lainey Wilson,"(0, 0, 4, 5)","(5, -2, 4, -7)"
"""Going, Going, Gone""",Luke Combs,"(5, 6, 2, 0)","(-4, -1, 10, -5)"
"""Rockin' Around the Christmas Tree""",Brenda Lee,not found,not found
"""Dancin' in the Country""",Tyler Hubbard,"(1, 3, 5, 2)","(2, -4, -3, 5)"
"""Daylight""",David Kushner,"(1, 6, 3)","(3, -7, 4)"
"""Lift Me Up""",Rihanna,"(1, 2, 5, 1)","(-2, 7, -5, 0)"
"""Eyes Closed""",Ed Sheeran,"(1, 1, 6, 4)","(0, 3, 4, -7)"
"""TQG""",Karol G and Shakira,"(1, 0, 4, 1)","(1, 6, -7, 0)"
"""Try That in a Small Town""",Jason Aldean,not found,not found
"""Tennessee Orange""",Megan Moroney,not found,not found
"""Jingle Bell Rock""",Bobby Helms,"(5, 2)","(-5, 5)"
"""Princess Diana""",Ice Spice and Nicki Minaj,not found,not found
"""Tomorrow 2""",GloRilla and Cardi B,not found,not found
"""A Holly Jolly Christmas""",Burl Ives,"(1, 4, 1, 4)","(7, -7, 7, -2)"
"""Where She Goes""",Bad Bunny,"(1, 5, 4, 2)","(2, 3, 2, -7)"
"""Bebe Dame""",Fuerza Regida and Grupo Frontera,"(5, 1, 4, 7)","(3, -5, 7, -5)"
"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,"(7, 1, 6, 3)","(-7, -2, 4, 5)"
"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,not found,not found
"""What It Is (Block Boy)""",Doechii featuring Kodak Black,"(5, 2, 5, 1)","(-7, 5, -5, 7)"
"""Nobody Gets Me""",SZA,"(1, 5, 2)","(-7, 2, 5)"
"""Rich Men North of Richmond""",Oliver Anthony Music,"(7, 7, 7, 1, 6, 3)","(0, 0, -2, 4, -7, 5)"
"""Super Freaky Girl""",Nicki Minaj,not found,not found
"""Dial Drunk""",Noah Kahan and Post Malone,"(5, 2, 3, 1)","(-7, 5, -2, 4)"
"""What Was I Made For?""",Billie Eilish,"(3, 4, 1)","(-1, 5, -4)"
"""Seven""",Jungkook featuring Latto,not found,not found
"""Wait for U""",Future featuring Drake and Tems,not found,not found
"""Last Christmas""",Wham!,"(2, 5, 1, 6)","(7, -9, 7, -5)"
"""Handle on You""",Parker McCollum,"(5, 2, 4, 1)","(5, -3, 5, -7)"
"""Por Las Noches""",Peso Pluma,not found,not found
"""Memory Lane""",Old Dominion,"(4, 1)","(5, -5)"
"""Area Codes""",Kaliii,not found,not found
"""Bury Me in Georgia""",Kane Brown,"(1, 4, 3)","(3, 7, -10)"
"""PRC""",Peso Pluma and Natanael Cano,not found,not found
"""What My World Spins Around""",Jordan Davis,"(1, 1, 4, 4)","(0, -5, 0, 5)"
"""Ain't That Some""",Morgan Wallen,"(1, 6, 3, 4)","(5, -2, 5, -8)"
"""Wild as Her""",Corey Kent,"(1, 3, 6)","(-3, 7, -4)"
"""Peaches & Eggplants""",Young Nudy featuring 21 Savage,not found,not found
"""I Wrote the Book""",Morgan Wallen,"(1, 1, 4, 4, 4, 1)","(0, -5, 0, 0, 5, 0)"
"""Bzrp Music Sessions, Vol. 53""",Bizarrap and Shakira,"(1, 3, 6, 4)","(-3, -5, 3, 5)"
"""Meltdown""",Travis Scott featuring Drake,not found,not found
"""Put It on da Floor Again""",Latto featuring Cardi B,not found,not found
"""Bloody Mary""",Lady Gaga,"(0, 0, 4, 0)","(-1, -2, -2, 2)"
"""Watermelon Moonshine""",Lainey Wilson,"(2, 5, 1, 6)","(7, -9, 7, -5)"
