Title,Artist,Main_Harmony
"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,"(0,)"
"""Sunflower""",Post Malone and Swae Lee,"(4, 1, 4, 2)"
"""Without Me""",Halsey,"(1, 3, 7, 6, 1, 3, 7, 4)"
"""Bad Guy""",Billie Eilish,"(1, 4, 5)"
"""Wow""",Post Malone,not found
"""Happier""",Marshmello and Bastille,"(6, 1, 3)"
"""7 Rings""",Ariana Grande,"(5, 1, 6, 4, 5)"
"""Talk""",Khalid,"(7, 6)"
"""Sicko Mode""",Travis Scott,"(0,)"
"""Sucker""",Jonas Brothers,not found
"""High Hopes""",Panic! at the Disco,"(1, 5, 3, 2, 1, 5, 3, 7)"
"""Thank U, Next""",Ariana Grande,"(1, 7, 3, 5)"
"""Truth Hurts""",Lizzo,"(1, 6)"
"""Dancing with a Stranger""",Sam Smith and Normani,"(1, 2, 3, 5)"
"""Señorita""",Shawn Mendes and Camila Cabello,not found
"""I Don't Care""",Ed Sheeran and Justin Bieber,not found
"""Eastside""","Benny Blanco, Halsey and Khalid","(7, 3, 6, 7, 1)"
"""Going Bad""",Meek Mill featuring Drake,"(1,)"
"""Shallow""",Lady Gaga and Bradley Cooper,"(7, 3, 6, 3, 7, 1)"
"""Better""",Khalid,"(1, 3, 2, 7)"
"""No Guidance""",Chris Brown featuring Drake,"(4, 6, 5)"
"""Girls Like You""",Maroon 5 featuring Cardi B,"(6, 4, 1, 5)"
"""Sweet but Psycho""",Ava Max,"(2, 3, 2, 1, 5)"
"""Suge""",DaBaby,not found
"""Middle Child""",J. Cole,"(1, 6, 7)"
"""Drip Too Hard""",Lil Baby and Gunna,not found
"""Someone You Loved""",Lewis Capaldi,"(5, 6, 4, 1)"
"""Ransom""",Lil Tecca,"(1, 6, 4, 5)"
"""If I Can't Have You""",Shawn Mendes,"(7, 1, 7, 6)"
"""Goodbyes""",Post Malone featuring Young Thug,"(1, 3, 6, 4)"
"""Zeze""",Kodak Black featuring Travis Scott and Offset,not found
"""Better Now""",Post Malone,"(1, 5, 3, 4)"
"""Youngblood""",5 Seconds of Summer,not found
"""Money in the Grave""",Drake featuring Rick Ross,not found
"""Speechless""",Dan + Shay,"(4, 2, 1, 3)"
"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,not found
"""Please Me""",Cardi B and Bruno Mars,"(1, 2, 5, 6)"
"""Money""",Cardi B,"(1, 7)"
"""You Need to Calm Down""",Taylor Swift,not found
"""Panini""",Lil Nas X,"(1, 4, 0)"
"""Look Back at It""",A Boogie wit da Hoodie,"(1, 4, 7, 3, 6, 4, 5, 1)"
"""A Lot""",21 Savage,"(1,)"
"""Me!""",Taylor Swift featuring Brendon Urie,"(1, 6, 4, 5)"
"""Mia""",Bad Bunny featuring Drake,"(1, 2, 5, 4)"
"""Pop Out""",Polo G featuring Lil Tjay,"(1, 6, 7)"
"""Beautiful Crazy""",Luke Combs,"(5, 6, 5, 4, 5, 1)"
"""Thotiana""",Blueface,"(7, 1)"
"""Lucid Dreams""",Juice Wrld,"(6, 5, 1, 7, 6, 5, 1, 1, 7, 6, 5, 1, 7, 6, 5)"
"""Mo Bamba""",Sheck Wes,"(4, 5, 4, 1)"
"""Beautiful People""",Ed Sheeran featuring Khalid,"(4, 6, 1, 4)"
"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black",not found
"""Whiskey Glasses""",Morgan Wallen,"(1, 5, 6, 4)"
"""God's Country""",Blake Shelton,"(1, 3, 4, 1)"
"""Be Alright""",Dean Lewis,"(1, 6, 3, 7)"
"""Pure Water""",Mustard and Migos,not found
"""The Git Up""",Blanco Brown,"(1, 4)"
"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B","(1, 4, 6, 7)"
"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,not found
"""Envy Me""",Calboy,not found
"""You Say""",Lauren Daigle,"(1, 3, 6, 4)"
"""Hey Look Ma, I Made It""",Panic! at the Disco,"(1, 5, 6)"
"""Circles""",Post Malone,"(4, 1, 4)"
"""Beer Never Broke My Heart""",Luke Combs,"(1,)"
"""The London""","Young Thug, J. Cole and Travis Scott",not found
"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow,"(7, 4, 7, 1)"
"""Murder on My Mind""",YNW Melly,"(1, 6, 3, 7)"
"""When the Party's Over""",Billie Eilish,not found
"""Act Up""",City Girls,not found
"""I Like It""","Cardi B, Bad Bunny and J Balvin",not found
"""Trampoline""",Shaed,"(6, 7, 1, 4)"
"""Leave Me Alone""",Flipp Dinero,not found
"""Breathin""",Ariana Grande,"(3, 6, 7, 1, 7, 3, 3, 6)"
"""Bury a Friend""",Billie Eilish,"(1,)"
"""Close Friends""",Lil Baby,"(1, 5, 2)"
"""Baby Shark""",Pinkfong,"(0,)"
"""My Type""",Saweetie,not found
"""Worth It""",YK Osiris,"(2, 1, 5, 2)"
