Title,Artist,Main_Harmony,Main_Interval_Harmony
"""We Belong Together""",Mariah Carey,"(1, 2, 7, 1)","(2, -3, 1, 0)"
"""Hollaback Girl""",Gwen Stefani,"(1, 5, 3, 4)","(-5, -4, 2, -5)"
"""Let Me Love You""",Mario,"(4, 4, 4, 1, 5)","(-5, -5, -2, 0, 0)"
"""Since U Been Gone""",Kelly Clarkson,not found,not found
"""1, 2 Step""",Ciara featuring Missy Elliott,"(1, 4, 4, 1)","(0, 5, 0, -5)"
"""Gold Digger""",Kanye West featuring Jamie Foxx,"(1, 4)","(5, -5)"
"""Boulevard of Broken Dreams""",Green Day,"(3, 7, 4, 1)","(-5, -5, 3, -5)"
"""Candy Shop""",50 Cent featuring Olivia,not found,not found
"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,"(2, 6)","(-5, 5)"
"""Behind These Hazel Eyes""",Kelly Clarkson,"(6, 3, 7, 1)","(-5, -5, 2, -4)"
"""Disco Inferno""",50 Cent,not found,not found
"""You and Me""",Lifehouse,"(1, 6, 5, 4, 1, 4, 1)","(-2, -2, -5, 5, -5, 0, -3)"
"""Don't Phunk with My Heart""",The Black Eyed Peas,"(1, 7)","(-2, 2)"
"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,not found,not found
"""Shake It Off""",Mariah Carey,"(1, 7, 6)","(-2, -2, 4)"
"""Mr. Brightside""",The Killers,"(1, 4, 6, 5)","(5, 4, -2, 5)"
"""Just a Lil Bit""",50 Cent,not found,not found
"""Pon de Replay""",Rihanna,"(1, 4)","(5, -5)"
"""How We Do""",The Game featuring 50 Cent,not found,not found
"""Beverly Hills""",Weezer,not found,not found
"""Oh""",Ciara featuring Ludacris,"(1, 4, 1, 5)","(-5, -5, 5, 5)"
"""Lonely No More""",Rob Thomas,"(1, 4, 7, 5)","(5, 5, 5, 0, -3, 5, 5, -3, 0, 5)"
"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,"(1, 3, 2, 2)","(-2, 3, -1, 0)"
"""Hate It or Love It""",The Game featuring 50 Cent,"(3, 3, 1, 6)","(-3, -5, 0, -4)"
"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,not found,not found
"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,not found,not found
"""Breakaway""",Kelly Clarkson,"(5, 3, 1, 5)","(-5, -5, 2, -4)"
"""Switch""",Will Smith,not found,not found
"""Let Me Hold You""",Bow Wow featuring Omarion,not found,not found
"""Like You""",Bow Wow featuring Ciara,not found,not found
"""Rich Girl""",Gwen Stefani featuring Eve,"(2, 5)","(5, -5)"
"""My Humps""",The Black Eyed Peas,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,not found,not found
"""Caught Up""",Usher,"(1, 0)","(1, -1)"
"""Listen to Your Heart""",DHT featuring Edmee,not found,not found
"""Scars""",Papa Roach,not found,not found
"""Feel Good Inc.""",Gorillaz,"(0, 0, 0, 0)","(-1, -2, 3, -1, -4, -3, 0, 2, 1, 5)"
"""Let Me Go""",3 Doors Down,not found,not found
"""Holiday""",Green Day,"(1, 6, 3, 7, 1, 6, 3, 5, 1, 6, 3, 7, 5)","(-5, -5, 2, -4, -5, 4, 5, -4, -5, -5, -3, 5, -4)"
"""Sugar, We're Goin Down""",Fall Out Boy,"(4, 6, 4, 1)","(-4, -5, 5, 4)"
"""Grind with Me""",Pretty Ricky,not found,not found
"""Run It!""",Chris Brown featuring Juelz Santana,not found,not found
"""Photograph""",Nickelback,"(1, 5, 0, 4)","(-5, -4, 2, -5)"
"""Lonely""",Akon,"(1, 3, 4, 5)","(4, 1, 2, 5)"
"""Collide""",Howie Day,"(1, 5, 1, 4)","(5, 5, -5, -5)"
"""Wake Me Up When September Ends""",Green Day,"(1, 1, 6, 5, 4, 4, 1)","(0, -3, -2, -2)"
"""Slow Down""",Bobby Valentino,not found,not found
"""Over and Over""",Nelly featuring Tim McGraw,not found,not found
"""Some Cut""",Trillville featuring Cutty,not found,not found
"""Get It Poppin'""",Fat Joe featuring Nelly,not found,not found
"""Play""",David Banner,not found,not found
"""Soul Survivor""",Young Jeezy featuring Akon,"(6, 1)","(4, -4)"
"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,not found,not found
"""My Boo""",Usher and Alicia Keys,not found,not found
"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",not found,not found
"""Karma""",Alicia Keys,"(1, 1, 1, 1)","(-2, 2, -2, 2)"
"""Speed of Sound""",Coldplay,"(5, 5, 4, 1)","(-5, 0, -2, -5)"
"""I Don't Want to Be""",Gavin DeGraw,"(2, 6, 3, 5)","(-5, -5, -5, 3)"
"""Mockingbird""",Eminem,"(1, 6, 7, 1)","(2, 2, 0, -4)"
"""La Tortura""",Shakira featuring Alejandro Sanz,"(1, 7, 3, 4)","(5, 2, -5, -2)"
"""She Will Be Loved""",Maroon 5,"(1, 7)","(2, -2)"
"""Baby I'm Back""",Baby Bash featuring Akon,not found,not found
"""Wait (The Whisper Song)""",Ying Yang Twins,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
"""Incomplete""",Backstreet Boys,not found,not found
"""Bring Em Out""",T.I.,not found,not found
"""Cater 2 U""",Destiny's Child,"(1, 6, 7, 3)","(-3, 2, 5, -4)"
"""1 Thing""",Amerie,not found,not found
"""Best of You""",Foo Fighters,"(1, 7, 6, 4)","(-2, -2, -3, -5)"
"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,not found,not found
"""Goin' Crazy""",Natalie,not found,not found
"""Inside Your Heaven""",Carrie Underwood,"(4, 1)","(5, -5)"
"""Because of You""",Kelly Clarkson,"(7, 3, 5, 1)","(0, -2, 5, 4, 5)"
"""Truth Is""",Fantasia,not found,not found
"""Your Body""",Pretty Ricky,not found,not found
"""Beautiful Soul""",Jesse McCartney,"(5, 6, 4, 1)","(-5, 2, -4, -5)"
"""Cool""",Gwen Stefani,"(1, 5)","(2, 5, 0, 5)"
"""Get Back""",Ludacris,not found,not found
