Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Levitating""",Dua Lipa,"(1, 5, 4, 1)","(5, 2, -7, 0)"
"""Save Your Tears""",The Weeknd and Ariana Grande,not found,not found
"""Blinding Lights""",The Weeknd,"(4, 4, 4, 4, 1, 5, 7)","(-7, 9, -7, 0, 0, 0, 5)"
"""Mood""",24kGoldn featuring Iann Dior,"(1, 3, 5, 2)","(-4, -3, 5, 2)"
"""Good 4 U""",Olivia Rodrigo,"(7, 1, 7, 6, 3)","(2, -7, 5)"
"""Kiss Me More""",Doja Cat featuring SZA,"(1, 4, 7, 3, 2)","(7, -5, 7, -11, 2)"
"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),not found,not found
"""Drivers License""",Olivia Rodrigo,"(1, 4)","(5, -5)"
"""Montero (Call Me by Your Name)""",Lil Nas X,"(1, 1, 7, 7)","(0, 1, 0, -1)"
"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,"(1, 7, 6, 5)","(2, 2, -5, 1)"
"""Butter""",BTS,"(4, 5, 6)","(-2, -2, 4)"
"""Stay""",The Kid Laroi and Justin Bieber,"(1, 1, 2, 3, 7, 1)","(-2, -2, 5, -1, 0, 0)"
"""Deja Vu""",Olivia Rodrigo,"(5, 1)","(-7, 7)"
"""Positions""",Ariana Grande,"(1, 5, 6, 4)","(-7, -1, 3, 5)"
"""Bad Habits""",Ed Sheeran,"(1, 3, 6, 7, 1, 3, 4, 6)","(-2, -2, 9, -2, -3, -4, 9, -5)"
"""Heat Waves""",Glass Animals,"(5, 4, 1, 7, 5, 4, 3, 7)","(2, 5, -10, 3, 2, 2, -7, 3)"
"""Without You""",The Kid Laroi,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""Forever After All""",Luke Combs,"(1, 5, 2, 3, 1, 5, 2)","(2, -7, 5, -2, 4, -7, 5)"
"""Go Crazy""",Chris Brown and Young Thug,"(7, 6, 7, 1)","(1, 2, -2, -1)"
"""Astronaut in the Ocean""",Masked Wolf,"(1, 2)","(-2, 2)"
"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,"(1, 4, 7, 5)","(-5, 7, -5, 3)"
"""What You Know Bout Love""",Pop Smoke,not found,not found
"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,not found,not found
"""Industry Baby""",Lil Nas X and Jack Harlow,not found,not found
"""Therefore I Am""",Billie Eilish,"(5, 1, 5)","(-7, 0, 7)"
"""Up""",Cardi B,"(1, 3, 7)","(-3, 5, -2)"
"""Fancy Like""",Walker Hayes,"(1, 1, 1, 1)","(7, 0, 0, 0)"
"""Dakiti""",Bad Bunny and Jhay Cortez,not found,not found
"""Best Friend""",Saweetie featuring Doja Cat,"(7, 1)","(-1, 1)"
"""Rapstar""",Polo G,"(1, 6, 3)","(4, 5, -9)"
"""Heartbreak Anniversary""",Giveon,"(4, 2, 1, 3)","(-4, -1, 3, 2)"
"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,not found,not found
"""Calling My Phone""",Lil Tjay and 6lack,"(3, 1, 6, 3, 5, 1, 6, 3)","(-7, 0, 4, 3, -7, 9, -5, 3)"
"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,"(1, 5, 6, 3, 1, 5, 2)","(-7, -2, 5, 4, -7, 5, 2)"
"""Holy""",Justin Bieber featuring Chance the Rapper,"(5, 6, 4, 1)","(-7, 10, -8, 5)"
"""On Me""",Lil Baby,not found,not found
"""You Broke Me First""",Tate McRae,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""Traitor""",Olivia Rodrigo,"(1, 3, 6, 4)","(4, 5, -4, -5)"
"""Back in Blood""",Pooh Shiesty featuring Lil Durk,not found,not found
"""I Hope""",Gabby Barrett featuring Charlie Puth,"(7, 3, 7, 6, 1)","(2, 7, -7, 2, -4)"
"""Dynamite""",BTS,"(1, 4, 7, 3)","(-5, 7, 3, -5)"
"""Wockesha""",Moneybagg Yo,not found,not found
"""You Right""",Doja Cat and the Weeknd,not found,not found
"""Beat Box 2"" / ""Beat Box 3""",SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby,not found,not found
"""Laugh Now Cry Later""",Drake featuring Lil Durk,not found,not found
"""Need to Know""",Doja Cat,"(7, 1, 1, 7)","(0, -1, 0, 1)"
"""Wants and Needs""",Drake featuring Lil Baby,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Way 2 Sexy""",Drake featuring Future and Young Thug,not found,not found
"""Telepatía""",Kali Uchis,"(1, 3, 6, 1)","(-4, 7, -3, 0)"
"""Whoopty""",CJ,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,not found,not found
"""Good Days""",SZA,"(1, 6)","(-9, 9)"
"""Starting Over""",Chris Stapleton,"(1, 1, 1, 4)","(0, 0, 0, 7, 0, 0, 0, -7)"
"""Body""",Megan Thee Stallion,not found,not found
"""Willow""",Taylor Swift,"(1, 7)","(5, -7, 5, -3)"
"""Bang!""",AJR,"(1, 1, 7, 3, 1, 5, 1, 1, 5, 1, 6, 7)","(-8, -2, 10, 0)"
"""Better Together""",Luke Combs,"(4, 1)","(-7, 7)"
"""You're Mines Still""",Yung Bleu featuring Drake,"(5, 4, 1)","(5, -10, 5)"
"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,not found,not found
"""Essence""",Wizkid featuring Justin Bieber and Tems,"(1, 2)","(-2, 2)"
"""Chasing After You""",Ryan Hurd and Maren Morris,not found,not found
"""The Good Ones""",Gabby Barrett,"(1, 5, 6, 4)","(-7, -2, 4, 5)"
"""Leave Before You Love Me""",Marshmello and Jonas Brothers,not found,not found
"""Glad You Exist""",Dan + Shay,"(1, 5, 6, 4)","(5, -2, 4, -7)"
"""Lonely""",Justin Bieber and Benny Blanco,"(1, 2, 7, 1)","(-2, 3, -1, 0)"
"""Beggin'""",Måneskin,not found,not found
"""Streets""",Doja Cat,"(7, 3, 5, 7, 1)","(-11, 7, -3, -4, 11)"
"""What's Next""",Drake,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Famous Friends""",Chris Young and Kane Brown,"(1, 7, 6, 3)","(2, 2, 5, -9)"
"""Lil Bit""",Nelly and Florida Georgia Line,not found,not found
"""Thot Shit""",Megan Thee Stallion,not found,not found
"""Late at Night""",Roddy Ricch,not found,not found
"""Kings & Queens""",Ava Max,not found,not found
"""Anyone""",Justin Bieber,"(1, 4, 6, 5)","(-5, -4, 2, 7)"
"""Track Star""",Mooski,"(5, 6, 5, 1)","(5, -1, 1, -5)"
