Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Low""",Flo Rida featuring T-Pain,not found,not found
"""Bleeding Love""",Leona Lewis,"(4, 4, 5, 1, 6, 6)","(0, 2, 5, -3, 0, -4)"
"""No One""",Alicia Keys,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
"""Lollipop""",Lil Wayne featuring Static Major,"(1, 3, 7, 4)","(3, -5, -5, -5)"
"""Apologize""",Timbaland featuring OneRepublic,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""No Air""",Jordin Sparks and Chris Brown,"(1, 0, 2, 4, 1)","(-2, 4, 3, -5, 0)"
"""Love Song""",Sara Bareilles,"(3, 5, 7, 1)","(2, 3, 4, 3)"
"""Love in This Club""",Usher featuring Young Jeezy,not found,not found
"""With You""",Chris Brown,"(5, 4, 5, 1)","(-2, 2, 5, -5)"
"""Forever""",Chris Brown,"(1, 5, 2, 1)","(-5, -5, -2, 0)"
"""Sexy Can I""",Ray J featuring Yung Berg,"(1, 5, 3, 2)","(-2, -2, -5, -3)"
"""Take a Bow""",Rihanna,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
"""Viva la Vida""",Coldplay,"(0, 0, 6)","(-5, -5, 2, -4)"
"""I Kissed a Girl""",Katy Perry,"(1, 3, 4, 6, 5)","(3, -1, 5, 3, 2)"
"""Whatever You Like""",T.I.,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Disturbia""",Rihanna,"(1, 3, 7, 6)","(3, -5, -2, 4)"
"""Don't Stop the Music""",Rihanna,"(1, 3)","(4, -4)"
"""Pocketful of Sunshine""",Natasha Bedingfield,"(6, 1, 3, 6)","(3, 5, 0, 4)"
"""Kiss Kiss""",Chris Brown featuring T-Pain,"(1, 6)","(-4, 4)"
"""Closer""",Ne-Yo,not found,not found
"""Bubbly""",Colbie Caillat,"(1, 1, 4, 1)","(0, 5, -5, 0)"
"""Touch My Body""",Mariah Carey,"(5, 1, 4, 2, 5, 1, 4, 5, 2)","(5, 5, 5, -3, 5, 5, 5, 2, -5)"
"""4 Minutes""",Madonna featuring Justin Timberlake and Timbaland,"(1, 6, 4, 7)","(-4, -3, 5, 2)"
"""So What""",Pink,not found,not found
"""Paralyzer""",Finger Eleven,"(1, 4, 3)","(-2, -3, 5, -2, -3, 0, 5)"
"""Clumsy""",Fergie,not found,not found
"""I'm Yours""",Jason Mraz,"(5, 6, 4, 1)","(-5, 2, -4, -5)"
"""Leavin'""",Jesse McCartney,"(1, 6, 5, 1)","(0, -3, -2, 5)"
"""Dangerous""",Kardinal Offishall featuring Akon,"(3, 1, 2, 3)","(2, 2, 0, -4)"
"""Tattoo""",Jordin Sparks,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
