Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Work Hard, Play Hard""",Wiz Khalifa,"(1, 1, 1, 1)","(0, 0, 0, 0)"
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,not found,not found
"""Pound the Alarm""",Nicki Minaj,"(1, 6, 3, 7)","(4, -7, 5, -2)"
"""Come Over""",Kenny Chesney,"(6, 1, 6, 5)","(-2, 9, -9, 2)"
"""Heart Attack""",Trey Songz,"(1, 3, 7, 6)","(-3, 5, 2, -4)"
"""Drank in My Cup""",Kirko Bangz,"(1, 3, 7, 4)","(-7, 5, -7, 9)"
"""Birthday Cake""",Rihanna featuring Chris Brown,not found,not found
"""So Good""",B.o.B,not found,not found
"""50 Ways to Say Goodbye""",Train,"(7, 6, 3, 7, 1)","(5, -7, -2, 2)"
"""Red Solo Cup""",Toby Keith,"(1, 2, 5, 1)","(-2, 7, -5, 0)"
"""Love You Like a Love Song""",Selena Gomez & the Scene,"(1, 6, 7, 3, 1, 6, 7, 1)","(-2, 7, -9, 4, -2, -2, 0, 4)"
"""Turn Up the Music""",Chris Brown,"(1, 6, 1, 6)","(4, -4, 4, -4)"
"""Die Young""",Kesha,not found,not found
"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,not found,not found
"""A Thousand Years""",Christina Perri,"(5, 4, 5, 1, 6)","(2, -7, 3, 2)"
"""Take a Little Ride""",Jason Aldean,"(0, 0, 4, 1)","(5, -7, 5, -3)"
"""You da One""",Rihanna,"(5, 1)","(-5, 5, -5, 5)"
"""We Run the Night""",Havana Brown featuring Pitbull,not found,not found
"""It's Time""",Imagine Dragons,"(1, 5, 6, 4)","(-7, -2, 4, 5)"
"""Cashin' Out""",Cash Out,not found,not found
"""I Don't Want This Night to End""",Luke Bryan,"(7, 6, 1)","(2, 2, -4)"
"""Diamonds""",Rihanna,"(1, 3, 2, 7)","(2, 3, -1, -4)"
"""Hard to Love""",Lee Brice,"(1, 5, 3, 2)","(2, 2, -7, 3)"
"""Somethin' 'Bout a Truck""",Kip Moore,"(1, 5, 1, 1, 4, 1, 5, 1, 4)","(-7, 5, -5, 0, 7, -7, 5, -5, 7)"
"""Adorn""",Miguel,"(1, 2, 3)","(-2, -2, 4)"
"""Fly Over States""",Jason Aldean,"(6, 4, 1, 5)","(4, -7, 5, -9)"
"""Even If It Breaks Your Heart""",Eli Young Band,"(3, 6, 3, 7, 1, 7)","(2, 7, -5, 5, -7, -2)"
"""Burn It Down""",Linkin Park,"(1, 3, 5, 4)","(5, -3, -4, 2)"
