Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Bottoms Up""",Brantley Gilbert,"(1, 6, 7)","(2, 2, -4)"
"""Shower""",Becky G,"(5, 3, 2, 1)","(-2, -5, -3, -2)"
"""Me and My Broken Heart""",Rixton,"(1, 4, 7, 3, 5)","(5, 5, 5, 4, 5)"
"""Animals""",Martin Garrix,not found,not found
"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,not found,not found
"""American Kids""",Kenny Chesney,"(1, 6)","(2, 2, 3, 5)"
"""Brave""",Sara Bareilles,"(4, 5, 1, 6)","(5, -3, -4, 2)"
"""Sweater Weather""",The Neighbourhood,"(6, 3, 5, 1)","(-5, 3, 5, -3)"
"""Leave the Night On""",Sam Hunt,not found,not found
"""New Flame""",Chris Brown featuring Usher and Rick Ross,"(1, 6, 5)","(-3, -2, 5)"
"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,"(1, 5, 0, 1, 6, 1)","(-5, -6, -1, -4)"
"""Drunk on a Plane""",Dierks Bentley,"(4, 1)","(5, -5)"
"""Birthday""",Katy Perry,"(5, 1, 5, 6)","(-2, 5, -5, 2)"
"""Bartender""",Lady Antebellum,"(7, 6, 3, 7)","(-5, -5, 0, -2)"
"""La La La""",Naughty Boy featuring Sam Smith,not found,not found
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,"(1, 3, 6, 4)","(4, 5, -4, -5)"
"""Do What U Want""",Lady Gaga featuring R. Kelly,not found,not found
"""Can't Remember to Forget You""",Shakira featuring Rihanna,"(1, 4, 7, 3, 2)","(5, 5, 5, -1, -2)"
"""Amnesia""",5 Seconds of Summer,"(1, 4)","(-5, 5)"
"""No Mediocre""",T.I. featuring Iggy Azalea,not found,not found
"""Come with Me Now""",KONGOS,"(1, 4)","(5, -5)"
"""Believe Me""",Lil Wayne featuring Drake,not found,not found
"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",not found,not found
"""Beachin'""",Jake Owen,"(4, 1)","(5, -5)"
"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,"(1, 4)","(5, -5)"
"""She Looks So Perfect""",5 Seconds of Summer,not found,not found
"""Stay the Night""",Zedd featuring Hayley Williams,not found,not found
"""Partition""",Beyoncé,not found,not found
"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,not found,not found
"""0 to 100 / The Catch Up""",Drake,not found,not found
"""I Don't Dance""",Lee Brice,"(1, 5, 6)","(2, 3, -5)"
"""Somethin' Bad""",Miranda Lambert and Carrie Underwood,not found,not found
"""Adore You""",Miley Cyrus,"(1, 4, 6)","(5, 4, 3)"
