Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Lose Control""",Teddy Swims,"(5, 1, 3, 6, 5)","(5, -1, 0, 5, 3)"
"""A Bar Song (Tipsy)""",Shaboozey,"(3, 6, 3, 7, 1)","(-5, -5, 2, 3, 5)"
"""Beautiful Things""",Benson Boone,"(1, 5, 2)","(-5, -5, -2, -5)"
"""I Had Some Help""",Post Malone featuring Morgan Wallen,"(1, 5, 3, 2)","(-2, -5, -3, -2)"
"""Lovin on Me""",Jack Harlow,"(2, 3, 2, 1, 2, 3, 1)","(2, 1, -1, -2, 2, 1, -3)"
"""Not Like Us""",Kendrick Lamar,"(3, 6, 3)","(5, -5, 0)"
"""Espresso""",Sabrina Carpenter,"(1, 2, 5)","(5, 5, 2)"
"""Million Dollar Baby""",Tommy Richman,"(1, 1, 4, 1)","(0, 5, -5, 0)"
"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,"(7, 1, 6, 3)","(-5, 2, -4, -5)"
"""Too Sweet""",Hozier,"(4, 0, 4, 6, 2)","(3, 5, -5, 4)"
"""Stick Season""",Noah Kahan,"(2, 3, 1, 5)","(-5, 2, -4, -5)"
"""Cruel Summer""",Taylor Swift,"(5, 7, 3, 1)","(4, 5, -4, -5)"
"""Greedy""",Tate McRae,"(1, 7, 6, 4)","(-2, -2, -3, -5)"
"""Like That""","Future, Metro Boomin and Kendrick Lamar",not found,not found
"""Birds of a Feather""",Billie Eilish,"(1, 6, 2, 5)","(5, 5, 5, -3)"
"""Please Please Please""",Sabrina Carpenter,"(1, 3, 6, 4, 3, 2, 1, 5)","(5, 4, 5, -4, -1, -2, -2, -5)"
"""Agora Hills""",Doja Cat,not found,not found
"""Good Luck, Babe!""",Chappell Roan,"(1, 2, 5, 3)","(5, -3, -4, 2)"
"""Saturn""",SZA,"(1, 2, 1)","(2, -2, 0)"
"""Snooze""",SZA,"(3, 1, 2)","(2, 1, -3)"
"""Paint the Town Red""",Doja Cat,not found,not found
"""Fortnight""",Taylor Swift featuring Post Malone,"(1, 2, 5, 3)","(5, -4, -5, 4)"
"""Fast Car""",Luke Combs,"(2, 1, 5, 3)","(-2, -2, -5, -3)"
"""Water""",Tyla,"(2, 1)","(2, 0, -2, 0)"
"""Feather""",Sabrina Carpenter,"(1, 7, 5)","(-2, -3, 5)"
"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande,"(4, 1)","(-5, 5)"
"""Austin""",Dasha,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Last Night""",Morgan Wallen,not found,not found
"""Cowgirls""",Morgan Wallen featuring Ernest,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Pink Skies""",Zach Bryan,"(1, 5, 3, 2)","(-2, -2, -5, -3)"
"""Thinkin' Bout Me""",Morgan Wallen,"(1, 7, 6, 3, 4)","(-2, -2, -5, 2, -5)"
"""Texas Hold 'Em""",Beyoncé,"(4, 1, 5, 4)","(-5, -5, -2, -5)"
"""Is It Over Now?""",Taylor Swift,"(4, 6, 4, 1)","(5, 4, -4, -5)"
"""Miles on It""",Marshmello and Kane Brown,"(1, 5, 3, 2)","(-2, -2, -5, -3)"
"""I Can Do It with a Broken Heart""",Taylor Swift,not found,not found
