Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Only Girl (In the World)""",Rihanna,not found,not found
"""Live Like We're Dying""",Kris Allen,not found,not found
"""Hard""",Rihanna featuring Jeezy,"(6, 7, 1)","(2, 2, -4)"
"""Young Forever""",Jay-Z featuring Mr Hudson,not found,not found
"""Blah Blah Blah""",Kesha featuring 3OH!3,"(1, 3, 7, 4)","(3, -3, 3, -5)"
"""Bottoms Up""",Trey Songz featuring Nicki Minaj,"(1, 1, 6, 4, 5)","(0, -4, -3, 2, 5)"
"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,"(1, 5, 2, 4)","(-5, -5, 3, -5)"
"""All the Right Moves""",OneRepublic,not found,not found
"""According to You""",Orianthi,"(6, 4, 5, 6)","(2, 2, 0, -4)"
"""My Chick Bad""",Ludacris featuring Nicki Minaj,not found,not found
"""You Belong with Me""",Taylor Swift,"(1, 5, 2, 4)","(-5, -5, 3, -5)"
"""Meet Me Halfway""",The Black Eyed Peas,not found,not found
"""Take It Off""",Kesha,"(4, 5, 6)","(2, 2, -4)"
"""Over""",Drake,"(6, 4, 6, 1, 5)","(-5, 1, -3, 3, 4)"
"""Animal""",Neon Trees,"(5, 4, 1, 5, 4)","(2, -2, -5, -5)"
"""Misery""",Maroon 5,"(6, 2, 5, 3)","(5, 5, 5, -3)"
"""Magic""",B.o.B featuring Rivers Cuomo,"(1, 4, 6, 5)","(5, 4, -2, 5)"
"""Paparazzi""",Lady Gaga,"(6, 3, 4, 0)","(-5, 2, -4, -5)"
"""Tie Me Down""",New Boyz featuring Ray J,not found,not found
"""Your Love""",Nicki Minaj,"(5, 2, 5, 1)","(-5, -5, 5, 5)"
"""Party in the U.S.A.""",Miley Cyrus,not found,not found
"""Deuces""",Chris Brown featuring Tyga and Kevin McCall,"(1, 5, 4)","(-5, -2, -5, -5, -2, -2, -5, 2, -5, -2, -5)"
"""3""",Britney Spears,"(7, 6)","(2, -2)"
"""Impossible""",Shontelle,"(7, 6, 1, 3)","(-2, 4, 3, -5)"
"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem","(1, 7, 6, 1, 7)","(-2, -2, 4, -2, 2)"
"""Two Is Better Than One""",Boys Like Girls featuring Taylor Swift,"(5, 4)","(2, -2)"
"""My First Kiss""",3OH!3 featuring Kesha,"(1, 7, 6, 4)","(-2, -3, -5, -2)"
"""Already Gone""",Kelly Clarkson,"(5, 6, 5, 4, 5, 1)","(-5, 2, -2, -2, 2, 5)"
"""Rock That Body""",The Black Eyed Peas,not found,not found
"""Secrets""",OneRepublic,"(1, 3, 6, 4)","(4, 5, -4, -5)"
"""Naturally""",Selena Gomez & the Scene,"(1, 6, 3, 7)","(2, -4, -5, -5)"
"""Un-Thinkable (I'm Ready)""",Alicia Keys,"(1, 4, 4, 6)","(5, 0, 4, 3)"
"""All I Do Is Win""","DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",not found,not found
"""I Made It (Cash Money Heroes)""","Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",not found,not found
"""Stuck Like Glue""",Sugarland,"(5, 4, 1)","(-5, -2, -5)"
"""Hey Daddy (Daddy's Home)""",Usher featuring Plies,not found,not found
"""There Goes My Baby""",Usher,not found,not found
"""Today Was a Fairytale""",Taylor Swift,"(4, 6, 1)","(5, 4, 3)"
"""Say Something""",Timbaland featuring Drake,"(1, 3, 4)","(-5, 3, 2)"
"""Sweet Dreams""",Beyoncé,not found,not found
"""Use Somebody""",Kings of Leon,"(0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4)","(5, 4, 3)"
"""Undo It""",Carrie Underwood,"(7, 4, 1, 3)","(-5, -5, 3, -5)"
"""Eenie Meenie""",Sean Kingston and Justin Bieber,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Right Above It""",Lil Wayne featuring Drake,"(1, 4, 0)","(5, -4)"
"""The House That Built Me""",Miranda Lambert,"(1, 1, 1, 1)","(4, 1, -5, -5)"
"""If I Die Young""",The Band Perry,"(2, 3, 1, 5)","(-5, -5, 2, -4)"
"""The Only Exception""",Paramore,"(2, 6, 5)","(-5, -2, -5)"
"""American Honey""",Lady Antebellum,"(4, 1, 6, 5)","(-5, -3, -2, -2)"
"""King of Anything""",Sara Bareilles,"(6, 2, 0, 2)","(-5, 5, 4, -4)"
"""Life After You""",Daughtry,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Smile""",Uncle Kracker,"(4, 2, 1, 5)","(-2, -3, -2, -5)"
"""Teach Me How to Dougie""",Cali Swag District,not found,not found
"""Try Sleeping with a Broken Heart""",Alicia Keys,"(1, 2, 5)","(5, 5, 2)"
"""Lover, Lover""",Jerrod Niemann,"(1, 4)","(5, -5)"
