Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Blinding Lights""",The Weeknd,"(4, 4, 4, 4, 1, 5, 7)","(-7, 9, -7, 0, 0, 0, 5)"
"""Circles""",Post Malone,"(4, 1, 4)","(-5, 0, 5)"
"""The Box""",Roddy Ricch,"(1, 1, 4, 7)","(0, -5, 7, -2)"
"""Don't Start Now""",Dua Lipa,"(4, 1, 6, 3)","(-7, 4, 5, -7)"
"""Rockstar""",DaBaby featuring Roddy Ricch,"(1, 3, 7, 6)","(-3, 5, 2, -4)"
"""Adore You""",Harry Styles,"(1, 3, 6, 7)","(-2, -2, 9, -5)"
"""Life Is Good""",Future featuring Drake,"(0, 0, 4)","(0, 4, -4)"
"""Memories""",Maroon 5,"(1, 5, 6, 3, 4, 1, 4, 5)","(-7, 11, -7, 7, -2, -5, 5, -2)"
"""The Bones""",Maren Morris,"(1, 5, 3, 2)","(2, 5, -9, 2)"
"""Someone You Loved""",Lewis Capaldi,"(5, 6, 4, 1)","(-7, -2, 4, 5)"
"""Say So""",Doja Cat,"(7, 1, 4, 7, 5, 1, 4, 7)","(7, 0, -2, -5, 7, -9, 7, -5)"
"""I Hope""",Gabby Barrett featuring Charlie Puth,"(7, 3, 7, 6, 1)","(2, 7, -7, 2, -4)"
"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne","(1, 3, 5, 1, 0, 5)","(7, -3, -4, 7, 3, -10)"
"""Dance Monkey""",Tones and I,"(1, 6, 7, 5)","(-2, 3, -5, 4)"
"""Savage""",Megan Thee Stallion featuring Beyoncé,"(1, 2)","(10, -10)"
"""Roxanne""",Arizona Zervas,"(1, 7, 3, 6)","(2, -5, 7, -4)"
"""Intentions""",Justin Bieber featuring Quavo,"(1, 1, 6, 4, 6, 4)","(4, -4, 4, -7, 0, 3)"
"""Everything I Wanted""",Billie Eilish,"(1, 2, 7, 1)","(-2, 3, -1, 0)"
"""Roses (Imanbek remix)""",Saint Jhn,not found,not found
"""Watermelon Sugar""",Harry Styles,"(1, 5, 7, 4)","(-7, 9, -7, 5)"
"""Before You Go""",Lewis Capaldi,"(1, 5, 6, 4)","(4, -2, 0, 7)"
"""Falling""",Trevor Daniel,"(1, 7, 3, 5)","(-5, 9, -5, 1)"
"""10,000 Hours""",Dan + Shay and Justin Bieber,not found,not found
"""WAP""",Cardi B featuring Megan Thee Stallion,"(1, 0, 2)","(11, -1, -10)"
