Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Irreplaceable""",Beyoncé,not found,not found
"""Umbrella""",Rihanna featuring Jay-Z,"(1, 5, 7, 3)","(-5, 4, 5, -4)"
"""The Sweet Escape""",Gwen Stefani featuring Akon,not found,not found
"""Big Girls Don't Cry""",Fergie,not found,not found
"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,not found,not found
"""Before He Cheats""",Carrie Underwood,"(6, 5, 1, 7)","(-2, -2, -1, 5)"
"""Hey There Delilah""",Plain White T's,"(1, 6)","(-4, 2, 2, -2)"
"""I Wanna Love You""",Akon featuring Snoop Dogg,not found,not found
"""Say It Right""",Nelly Furtado,not found,not found
"""Glamorous""",Fergie featuring Ludacris,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Don't Matter""",Akon,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
"""Girlfriend""",Avril Lavigne,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
"""Makes Me Wonder""",Maroon 5,"(7, 6, 4, 7)","(-2, -3, 5, 2)"
"""Party Like a Rockstar""",Shop Boyz,not found,not found
"""Smack That""",Akon featuring Eminem,"(7, 6, 7, 1)","(-1, -2, 2, 1)"
"""This Is Why I'm Hot""",Mims,not found,not found
"""It's Not Over""",Daughtry,"(0, 1, 2, 1)","(2, 2, -2, -2)"
"""The Way I Are""",Timbaland featuring Keri Hilson,"(1, 7)","(-2, 2)"
"""Fergalicious""",Fergie featuring will.i.am,"(1, 4)","(-5, 5)"
"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,"(0, 7, 3, 6, 0)","(5, 5, 5, 4, 5)"
"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 3, 4, 1, 3, 4, 1, 3, 4, 1)","(0, 0, 0, 0, 0, 0, 0, 0, 3, 2, -5, 3, 2, -5, 3, 2, -5, 3, 2, -5, 0)"
"""What Goes Around... Comes Around""",Justin Timberlake,"(1, 3, 7, 4)","(-5, -5, -5, 3)"
