Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Love Yourself""",Justin Bieber,"(1, 5, 6, 4, 1, 4, 1)","(-5, 2, -4, -5, 5, -5, 0)"
"""Sorry""",Justin Bieber,"(1, 3, 2)","(-2, 4, -2)"
"""One Dance""",Drake featuring Wizkid and Kyla,"(4, 1, 3, 4)","(0, -5, 3, 2)"
"""Work""",Rihanna featuring Drake,"(1, 7, 3, 4)","(-2, 5, 2, -5)"
"""Stressed Out""",Twenty One Pilots,"(1, 6, 4)","(5, -2, 5, 4)"
"""Panda""",Desiigner,"(1, 5, 6, 4)","(-5, 2, -4, -5)"
"""Hello""",Adele,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Don't Let Me Down""",The Chainsmokers featuring Daya,not found,not found
"""Can't Stop the Feeling!""",Justin Timberlake,"(6, 4, 6, 1)","(-4, 4, 3, -3)"
"""Closer""",The Chainsmokers featuring Halsey,"(2, 3, 2, 1)","(2, 2, -2, -2)"
"""Cheap Thrills""",Sia featuring Sean Paul,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""7 Years""",Lukas Graham,"(1, 3, 6, 7, 1)","(2, 2, 0, 3, 5)"
"""Needed Me""",Rihanna,"(1, 3, 6)","(3, 5, 4)"
"""My House""",Flo Rida,"(1, 6, 3)","(-4, -5, -3)"
"""I Took a Pill in Ibiza""",Mike Posner,"(1, 5, 4, 1)","(-5, -2, -5, 0)"
"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,"(1, 6, 3)","(-4, -5, -3)"
"""This Is What You Came For""",Calvin Harris featuring Rihanna,not found,not found
"""Cake by the Ocean""",DNCE,"(1, 5, 4, 6)","(-5, -2, 3, 4)"
"""Me, Myself & I""",G-Eazy and Bebe Rexha,not found,not found
"""Ride""",Twenty One Pilots,not found,not found
"""Heathens""",Twenty One Pilots,not found,not found
"""Pillowtalk""",Zayn,"(1, 2)","(2, -2, 2, 5, 5)"
"""Stitches""",Shawn Mendes,"(7, 3, 6, 1)","(5, 5, 4, -2)"
"""Hotline Bling""",Drake,"(6, 1)","(3, -3)"
"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,not found,not found
"""Send My Love (To Your New Lover)""",Adele,"(6, 1, 6, 4)","(-3, -4, 4, 3)"
"""Roses""",The Chainsmokers featuring Rozes,"(1, 5, 6, 4)","(-5, -5, 2, -4)"
"""Treat You Better""",Shawn Mendes,"(7, 6, 1)","(-2, -2, 4)"
"""Too Good""",Drake featuring Rihanna,"(5, 1)","(5, -5)"
"""Low Life""",Future featuring The Weeknd,"(1, 6, 5)","(5, -4, -1)"
"""What Do You Mean?""",Justin Bieber,"(1, 5, 3, 2, 1)","(-2, -2, 0, -5, -3)"
"""The Hills""",The Weeknd,"(3, 5, 3, 1)","(3, 4, -4, -3)"
"""Just Like Fire""",P!nk,not found,not found
"""Broccoli""",DRAM featuring Lil Yachty,"(1, 7, 4, 5, 1, 1)","(-2, -5, 2, 5)"
"""Don't""",Bryson Tiller,"(0, 1, 4)","(5, 5, 2)"
"""Dangerous Woman""",Ariana Grande,"(0, 5, 0)","(2, 3, -5)"
"""Jumpman""",Drake and Future,not found,not found
"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien,"(1, 7, 5, 6)","(-2, -3, 1, 4)"
"""Here""",Alessia Cara,"(1, 1, 4, 6)","(0, 5, 3, 4)"
"""Same Old Love""",Selena Gomez,"(1, 6, 4, 7)","(2, -4, -3, 5)"
"""Controlla""",Drake,"(5, 1, 2)","(5, 2, 5)"
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,not found,not found
"""One Call Away""",Charlie Puth,"(1, 5, 6, 4)","(5, 5, 4, -2)"
"""Let It Go""",James Bay,"(0, 7, 3, 6)","(-2, -5)"
"""No""",Meghan Trainor,"(7, 3, 2, 5, 1, 7, 3, 1)","(5, -2, 5, 5, -1, 5, -4, -1)"
"""Never Forget You""",Zara Larsson and MNEK,not found,not found
"""Let Me Love You""",DJ Snake featuring Justin Bieber,not found,not found
"""Don't Mind""",Kent Jones,"(1, 6, 2, 5)","(5, 5, 5, -3)"
"""H.O.L.Y.""",Florida Georgia Line,"(5, 6, 5, 4, 2, 5, 1)","(-2, -2, -3, 5, 5, -5, 2)"
"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,"(2, 3, 7, 1)","(2, 2, -5, 1)"
"""Into You""",Ariana Grande,not found,not found
"""Gold""",Kiiara,"(1, 7, 3, 4)","(-2, 5, 2, -5)"
"""Exchange""",Bryson Tiller,"(1, 6, 7, 5)","(-4, 2, -3, 5)"
"""679""",Fetty Wap featuring Remy Boyz,"(1, 7, 3, 5)","(5, 3, 5, -1)"
"""Oui""",Jeremih,"(1, 4, 7, 5)","(5, 5, 5, -3)"
"""Hands to Myself""",Selena Gomez,"(6, 5, 1, 3)","(5, -2, 5, 4)"
"""2 Phones""",Kevin Gates,"(3, 1, 2, 3, 5, 1, 2)","(2, 2, 3, 5, 2, 2, -4)"
"""Starboy""",The Weeknd featuring Daft Punk,"(1, 7)","(-2, 2)"
"""For Free""",DJ Khaled featuring Drake,not found,not found
"""Never Be Like You""",Flume featuring Kai,"(1, 2, 4)","(2, 3, -5)"
"""In the Night""",The Weeknd,"(7, 5, 6, 1)","(-2, -3, 1, 4)"
"""Me Too""",Meghan Trainor,"(1, 6, 6, 6)","(-3, 0, 0, 3)"
"""Ex's & Oh's""",Elle King,"(1, 5)","(-5, 5)"
"""Die a Happy Man""",Thomas Rhett,"(1, 6, 4, 1)","(-5, 0, -3, -4)"
"""White Iverson""",Post Malone,"(1, 5)","(-5, 5)"
"""Close""",Nick Jonas featuring Tove Lo,"(3, 5, 1)","(3, 5, 4)"
"""Unsteady""",X Ambassadors,"(1, 6, 3, 7)","(-5, -5, 2, -4)"
"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors",not found,not found
"""Down in the DM""",Yo Gotti featuring Nicki Minaj,not found,not found
"""Luv""",Tory Lanez,"(1, 2, 3, 5)","(2, 2, 3, 5)"
"""Sorry""",Beyoncé,not found,not found
"""Can't Feel My Face""",The Weeknd,"(1, 0, 2)","(-2, 4, -2)"
"""Hymn for the Weekend""",Coldplay,"(5, 3, 4)","(2, -4, 2)"
"""Say It""",Tory Lanez,"(1, 7, 3, 6)","(5, 5, 3, -1)"
"""Antidote""",Travis Scott,"(2, 1)","(-2, 2)"
"""Lost Boy""",Ruth B,"(3, 6, 3, 1)","(5, -5, -3, 3)"
"""Side to Side""",Ariana Grande featuring Nicki Minaj,not found,not found
"""Sit Still, Look Pretty""",Daya,"(4, 1, 4)","(-5, 5, 0)"
"""Wildest Dreams""",Taylor Swift,"(2, 6, 1, 5)","(-5, -5, 3, -5)"
"""Middle""",DJ Snake featuring Bipolar Sunshine,"(1, 7, 1, 7)","(-1, 1, -1, 1)"
"""On My Mind""",Ellie Goulding,"(2, 3, 1)","(2, 2, -4, 2, 2, 5, 5, -2, 2, 2, -4)"
"""Pop Style""",Drake featuring Jay-Z and Kanye West[a],not found,not found
"""When We Were Young""",Adele,"(7, 3, 5, 6)","(5, 4, 1, 2)"
"""Hide Away""",Daya,not found,not found
"""Lean On""",Major Lazer and DJ Snake featuring MØ,not found,not found
"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello,not found,not found
"""All the Way Up""",Fat Joe and Remy Ma featuring French Montana and Infared,not found,not found
"""Watch Me""",Silentó,not found,not found
"""Back to Sleep""",Chris Brown,"(1, 2, 0)","(2, -4, 2)"
"""No Limit""",Usher featuring Young Thug,not found,not found
"""Cut It""",O.T. Genasis featuring Young Dolph,not found,not found
"""Really Really""",Kevin Gates,"(1, 4)","(5, -5)"
"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap,"(1, 7, 3, 5)","(5, 3, 5, -1)"
"""Starving""",Hailee Steinfeld and Grey featuring Zedd,"(1, 2, 6, 5)","(5, 2, -5, -2)"
"""Adventure of a Lifetime""",Coldplay,"(5, 5, 1, 4, 5)","(5, 2, 0, 0, 5)"
"""Humble and Kind""",Tim McGraw,"(1, 6, 4, 1)","(-3, -4, -5, 0)"
"""Wicked""",Future,not found,not found
"""Tiimmy Turner""",Desiigner,not found,not found
"""See You Again""",Wiz Khalifa featuring Charlie Puth,not found,not found
"""Perfect""",One Direction,"(4, 6, 4, 1)","(5, 4, -4, -5)"
